,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS45,0.0,Dept. MTEL,CDD,100.0,80-20,4.0,380.0,387.0,7.0,7.0,0.0,0.0,82,3,19,19
ENS49,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,486.5,86.5,64.5,0.0,0.0,106,8,25.5,21.85277777777778
ENS50,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,65.57,87.5,21.93,0.0,0.0,0.0,13.2,2,10,2.2666666666666666
ENS52,0.0,Dept. MTEL,PERM,100.0,60-40,10.0,250.0,308.5,58.5,58.5,0.0,0.0,23.4,4,4,1.5708333333333333
ENS54,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,312.58,317.0,4.42,4.42,0.0,0.0,33.86666666666667,5,6,2.819444444444444
ENS58,0.0,Dept. ISYS,PERM,100.0,60-40,8.0,260.0,444.25,184.25,152.0,1.0,1.0,83,6.5,17.5,15.6875
ENS60,0.0,Dept. ISYS,PERM,100.0,60-40,5.0,275.0,335.5,60.5,60.5,0.0,0.0,28,5,5,1.1527777777777777
ENS61,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,300.0,456.0,156.0,140.0,0.0,1.0,102.06666666666666,10,19,17.265277777777776
ENS64,2.0,Dept. MTEL,PERM,100.0,60-40,20.0,200.0,274.0,74.0,74.0,0.0,0.0,138.8,17,49,24.18888888888889
ENS65,0.0,Dept. ISYS,PERM,100.0,60-40,2.0,290.0,386.5,96.5,96.5,0.0,0.0,124.8,11,26,23.558333333333334
ENS67,0.0,Dept. IT,PERM,100.0,60-40,35.0,125.0,155.0,30.0,30.0,0.0,0.0,20,2,4,4
ENS68,0.0,Dept. ISYS,PERM,100.0,80-20,19.0,306.0,490.85,184.85,184.85,1.0,1.0,198.26666666666665,6,51,46.05
ENS69,0.0,Dept. IT,CDI,80.0,Autre,43.0,214.0,268.0,54.0,0.0,0.0,0.0,30,4,6,4.486111111111111
ENS71,0.0,Dept. SEN,PERM,100.0,60-40,0.0,265.57,328.0,62.43,62.43,0.0,0.0,,,,
ENS73,0.0,Dept. MTEL,CDI,45.0,Autre,22.0,175.0,261.5,86.5,86.5,0.0,0.0,322,20,100,68.70833333333334
ENS75,0.0,Dept. ISYS,PERM,100.0,80-20,55.0,125.0,171.0,46.0,46.0,0.0,0.0,50.53333333333333,2,12,10.916666666666668
ENS77,60.0,Dept. IT,PERM,100.0,60-40,20.0,194.54,275.72,81.18,80.0,0.0,1.0,49.2,7,9,5.891666666666667
ENS78,0.0,Dept. MTEL,PERM,100.0,60-40,15.0,225.0,256.0,31.0,31.0,0.0,0.0,20.8,3,5,3.0805555555555553
ENS80,0.0,Dept. IT,PERM,100.0,80-20,10.0,350.0,491.75,141.75,140.0,0.0,1.0,52.199999999999996,9,10.5,4.754166666666666
ENS82,0.0,Dept. MTEL,PERM,100.0,80-20,40.0,200.0,474.5,274.5,140.0,0.0,1.0,164.6,14,42,30.418055555555554
ENS84,0.0,Dept. ISYS,PERM,100.0,80-20,7.0,367.0,570.8,203.8,159.0,1.0,1.0,161.13333333333333,8.5,36.5,36.1
ENS86,20.0,Dept. MTEL,PERM,100.0,60-40,0.0,300.0,413.75,113.75,113.75,0.0,0.0,25.4,4.5,5.5,2.1069444444444443
ENS87,0.0,Dept. ISYS,PERM,100.0,60-40,20.0,200.0,240.0,40.0,40.0,0.0,0.0,80,14,14,2.895833333333333
ENS88,60.0,Dept. SEN,PERM,100.0,60-40,25.0,175.0,276.0,101.0,101.0,1.0,1.0,18.4,4,4,0.9194444444444445
ENS90,0.0,Dept. MTEL,PERM,100.0,80-20,18.0,280.83,347.25,66.42,30.42,0.0,0.0,29.1,4.5,9.5,4.093055555555555
ENS92,0.0,Dept. IT,PERM,80.0,60-40,6.0,215.0,336.5,121.5,90.0,0.0,0.0,34.4,5,5,1.1972222222222222
ENS95,0.0,Dept. MTEL,PERM,100.0,80-20,18.0,312.35,434.5,122.15,122.15,0.0,0.0,117.09999999999997,16,35,21.31875
ENS96,0.0,Dept. ISYS,CDI,100.0,60-40,7.0,265.0,354.0,89.0,89.0,0.0,0.0,57.2,9,10,6.9222222222222225
ENS97,0.0,Dept. IT,PERM,100.0,60-40,35.0,125.0,192.0,67.0,67.0,0.0,0.0,66.8,5.333333333333333,15.333333333333332,13.733333333333333
ENS98,0.0,Dept. ISYS,PERM,100.0,60-40,4.0,280.0,463.25,183.25,140.0,0.0,1.0,141.46666666666667,7,17.5,28.591666666666665
ENS105,0.0,Dept. SEN,PERM,100.0,80-20,0.0,397.81,577.0,179.19,170.0,1.0,1.0,166.8,9,37,34.19444444444444
ENS106,0.0,Dept. SEN,PERM,100.0,60-40,8.0,260.0,362.5,102.5,102.5,0.0,0.0,28.6,5.5,5.5,2.363888888888889
ENS108,0.0,Dept. ISYS,PERM,100.0,60-40,35.0,125.0,226.5,101.5,101.5,0.0,0.0,54.8,10,12,6.551388888888889
ENS113,6.0,Dept. IT,PERM,100.0,60-40,10.0,300.0,492.0,192.0,134.0,0.0,1.0,91.8,9.333333333333334,20.333333333333336,16.025
ENS114,36.0,Dept. IT,PERM,100.0,60-40,20.0,200.0,259.06,59.06,59.06,0.0,0.0,50.5,6.5,8.5,6.340277777777779
ENS116,0.0,Dept. SEN,PERM,100.0,60-40,35.0,107.24,141.05,33.81,33.81,0.0,0.0,40.8,9,9,1.6999999999999997
ENS118,0.0,Dept. IT,CDI,100.0,60-40,0.0,300.0,391.0,91.0,91.0,0.0,0.0,38.599999999999994,7,7,3.784722222222222
ENS119,0.0,Dept. IT,PERM,100.0,80-20,10.0,228.58,394.35,165.77,140.0,0.0,1.0,153.23333333333335,13,33,28.83888888888889
ENS124,60.0,Dept. IT,PERM,100.0,60-40,12.0,240.0,309.0,69.0,69.0,0.0,0.0,37.8,7,7,4.7375
ENS129,0.0,Dept. SEN,CDD,100.0,80-20,0.0,400.0,423.0,23.0,23.0,0.0,0.0,38,1,9,9
ENS130,52.5,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,478.0,78.0,78.0,0.0,0.0,40.8,6,8,6.050000000000001
ENS132,0.0,Dept. MTEL,PERM,100.0,80-20,18.0,310.0,336.8,26.8,26.8,0.0,0.0,127.93333333333334,11,42,23.601388888888884
ENS135,0.0,Dept. ISYS,PERM,100.0,60-40,10.0,250.0,405.0,155.0,155.0,1.0,1.0,36.666666666666664,5,7,5.397222222222222
ENS138,0.0,Dept. MTEL,PERM,100.0,80-20,35.0,225.0,414.0,189.0,140.0,0.0,1.0,152.20000000000002,32,36,23.73055555555556
ENS139,0.0,Dept. IT,PERM,100.0,60-40,20.0,200.0,386.0,186.0,186.0,1.0,1.0,202.73333333333332,27,40.5,22.366666666666667
ENS140,0.0,Dept. ISYS,PERM,100.0,60-40,20.0,200.0,347.0,147.0,140.0,0.0,1.0,97,11,18,12.284722222222223
ENS141,48.0,Dept. MTEL,PERM,100.0,60-40,15.0,225.0,408.5,183.5,135.0,1.0,1.0,37,3.5,7.5,6.25
ENS144,0.0,Dept. SEN,PERM,100.0,60-40,35.0,125.0,192.5,67.5,66.5,0.0,0.0,30,3,6,4.25
ENS145,40.3,Dept. ISYS,CDI,100.0,60-40,0.0,300.0,400.5,100.5,99.7,0.0,1.0,39,4,7,4.145833333333334
ENS150,0.0,Dept. SEN,PERM,100.0,60-40,20.0,194.0,249.88,55.88,55.88,0.0,0.0,199.93333333333337,34,36,23.46388888888889
ENS151,0.0,Dept. ISYS,PERM,100.0,80-20,6.0,370.0,513.5,143.5,140.0,0.0,1.0,28,5,5,2.861111111111111
ENS152,0.0,Dept. ISYS,PERM,100.0,60-40,15.0,225.0,391.86,166.86,80.0,0.0,1.0,125.6,21,23,13.842361111111106
ENS155,0.0,Dept. IT,PERM,100.0,60-40,0.0,304.41,318.5,14.09,14.09,0.0,0.0,12,2,2,1.2083333333333333
ENS160,0.0,Dept. MTEL,PERM,100.0,80-20,40.0,200.66,272.5,71.84,71.84,0.0,0.0,139.9333333333333,9.5,26.5,24.951388888888886
ENS162,0.0,Dept. SEN,PERM,100.0,80-20,4.0,380.0,496.6,116.6,116.6,0.0,0.0,133.6,9,29,27.391666666666666
ENS163,0.0,Dept. IT,PERM,100.0,60-40,13.0,205.0,254.0,49.0,49.0,0.0,0.0,52.800000000000004,9,11,7.325000000000001
ENS165,14.0,Dept. IT,CDD,100.0,60-40,0.0,300.0,372.0,72.0,72.0,0.0,0.0,,,,
ENS166,0.0,Dept. ISYS,PERM,100.0,60-40,10.0,250.0,346.75,96.75,96.75,0.0,0.0,23.6,4,4,1.0583333333333333
ENS168,0.0,Dept. ISYS,PERM,100.0,60-40,2.0,290.0,380.1,90.1,90.1,0.0,0.0,56,4,12,10.083333333333334
ENS171,0.0,Dept. ISYS,PERM,80.0,80-20,25.0,168.0,196.0,28.0,0.0,0.0,0.0,36.6,5.5,6.5,4.329166666666667
ENS174,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,470.5,70.5,70.5,0.0,0.0,82.4,5,9,15.934722222222222
ENS175,0.0,Dept. IT,PERM,100.0,60-40,10.0,250.0,390.97,140.97,140.0,0.0,1.0,53.53333333333333,6.5,10.5,6.166666666666668
ENS178,0.0,Dept. SEN,PERM,50.0,80-20,48.0,109.45,248.7,139.25,139.25,0.0,0.0,35.8,6,8,3.7166666666666672
ENS181,0.0,Dept. SEN,PERM,100.0,60-40,8.0,257.16,402.1,144.94,144.44,1.0,1.0,129,5.5,29.5,29.5
ENS182,0.0,Dept. MTEL,CDD,50.0,Autre,8.0,221.21,267.0,45.79,45.79,0.0,0.0,24,4,4,2.083333333333333
ENS185,0.0,Dept. ISYS,PERM,100.0,60-40,3.0,170.0,301.65,131.65,131.65,0.0,0.0,97.2,6,22,20.334722222222222
