,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,439.0,139.0,139.0,0.0,0.0,90.4,5,20,19.108333333333334
ENS4,0.0,Dept. ISYS,CDI,100.0,60-40,5.0,275.0,407.0,132.0,132.0,0.0,0.0,74,8.5,15.5,12.048611111111109
ENS7,42.0,Dept. ISYS,PERM,100.0,80-20,16.0,165.0,286.0,121.0,38.0,0.0,1.0,180.06666666666666,22,42,33.07083333333333
ENS10,0.0,Dept. ISYS,PERM,100.0,60-40,4.0,280.0,431.5,151.5,140.0,0.0,1.0,47.33333333333333,7,10,6.466666666666668
ENS12,0.0,Dept. ISYS,PERM,100.0,80-20,17.0,317.0,461.35,144.35,140.0,0.0,1.0,69.8,4.5,15.5,14.270833333333332
ENS13,0.0,Dept. ISYS,PERM,100.0,60-40,13.0,235.0,381.0,146.0,140.0,0.0,1.0,74.13333333333334,10,12,10.17222222222222
ENS15,0.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,371.0,146.0,140.0,0.0,1.0,53.4,9,9,4.425000000000001
ENS16,0.0,Dept. IT,PERM,100.0,60-40,0.0,288.52,292.0,3.48,18.48,1.0,0.0,17.6,3,3,0.6722222222222222
ENS25,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,170.49,299.0,128.51,0.0,0.0,0.0,49,5,10,8.32638888888889
ENS27,0.0,Dept. ISYS,PERM,100.0,80-20,14.0,330.0,474.0,144.0,0.0,0.0,1.0,119.93333333333331,21,26,17.941666666666666
ENS30,6.0,Dept. SEN,CDI,100.0,60-40,18.0,210.0,362.0,152.0,140.0,1.0,1.0,196,18.5,40.5,29.416666666666654
ENS31,0.0,Dept. IT,PERM,80.0,60-40,13.0,190.0,200.5,10.5,10.5,0.0,0.0,36.6,5.833333333333333,7.833333333333333,4.163888888888889
ENS33,0.0,Dept. IT,PERM,100.0,60-40,15.0,218.85,376.5,157.65,140.0,0.0,1.0,108.19999999999999,20.5,20.5,12.563888888888888
ENS34,0.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,362.5,137.5,137.5,0.0,0.0,89.39999999999999,17.5,17.5,11.043055555555556
ENS38,0.0,Dept. IT,PERM,100.0,60-40,20.0,169.4,292.0,122.6,39.09,0.0,0.0,110.4,22.5,22.5,10.797222222222224
ENS43,98.0,Dept. MTEL,PERM,100.0,60-40,30.0,150.0,219.25,69.25,42.0,0.0,1.0,20,3.5,3.5,0.1388888888888889
