,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,410.5,110.5,110.5,0.0,0.0,,,,
ENS2,0.0,Dept. TELECOMS,CDD,100.0,60-40,0.0,300.0,314.0,14.0,14.0,0.0,0.0,,,,
ENS7,42.0,Dept. SYLE,PERM,100.0,80-20,13.0,337.5,441.38,103.88,98.0,0.0,1.0,,,,
ENS10,0.0,Dept. SE,PERM,100.0,60-40,5.0,249.0,396.4,147.4,140.0,0.0,1.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,250.0,362.0,112.0,112.0,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,250.0,434.0,184.0,140.0,0.0,1.0,,,,
ENS15,0.0,Dept. INFO,PERM,100.0,60-40,10.0,250.0,361.0,111.0,111.0,0.0,0.0,,,,
ENS16,70.0,Dept. INFO,PERM,100.0,60-40,0.0,286.26,393.0,106.74,70.0,0.0,1.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,15.0,294.78,365.3,70.52,0.0,0.0,0.0,,,,
ENS25,0.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,275.0,413.63,138.63,138.63,0.0,0.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,8.0,330.13,525.5,195.37,140.0,0.0,1.0,,,,
ENS31,0.0,Dept. INFO,CDI,100.0,60-40,-28.0,90.66,149.0,58.34,58.0,0.0,0.0,,,,
ENS33,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,362.0,62.0,62.0,0.0,0.0,,,,
ENS49,0.0,Dept. TELECOMS,PERM,100.0,80-20,10.0,350.0,472.5,122.5,122.5,0.0,0.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,293.13,385.0,91.87,91.0,0.0,0.0,,,,
ENS58,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,284.89,356.5,71.61,71.5,0.0,0.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,5.0,244.78,433.5,188.72,139.5,0.0,1.0,,,,
ENS65,0.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,250.0,360.0,110.0,110.0,0.0,0.0,,,,
ENS73,0.0,Dept. LAC,CDI,45.0,Autre,10.0,202.5,241.25,38.75,0.0,0.0,0.0,,,,
ENS74,0.0,Dept. LAC,PERM,50.0,Autre,27.0,179.75,210.2,30.45,0.0,0.0,0.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,60-40,30.0,150.0,211.6,61.6,60.6,0.0,0.0,,,,
ENS77,54.0,Dept. INFO,PERM,100.0,60-40,25.0,175.0,296.5,121.5,86.0,0.0,1.0,,,,
ENS80,0.0,Dept. TELECOMS,PERM,100.0,80-20,20.0,300.0,498.5,198.5,140.0,0.0,1.0,,,,
ENS84,0.0,Dept. MOSIM,PERM,100.0,80-20,10.0,322.0,425.66,103.66,103.16,0.0,0.0,,,,
ENS87,38.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,275.0,332.63,57.63,57.0,0.0,0.0,,,,
ENS88,108.0,Dept. SYLE,PERM,100.0,60-40,20.0,200.0,208.0,8.0,8.0,0.0,0.0,,,,
ENS91,0.0,Dept. TELECOMS,PERM,100.0,80-20,0.0,360.0,375.0,15.0,15.0,0.0,0.0,,,,
ENS92,0.0,Dept. TELECOMS,PERM,80.0,80-20,20.0,238.63,312.0,73.37,72.0,0.0,0.0,,,,
ENS93,0.0,Dept. SE,PERM,100.0,60-40,20.0,200.0,346.4,146.4,140.0,0.0,1.0,,,,
ENS94,36.0,Dept. SYLE,PERM,100.0,60-40,20.0,200.0,345.5,145.5,104.0,0.0,1.0,,,,
ENS96,0.0,Dept. SE,CDI,100.0,60-40,0.0,300.0,410.5,110.5,110.0,0.0,0.0,,,,
ENS97,0.0,Dept. INFO,PERM,100.0,60-40,20.0,200.0,260.0,60.0,60.0,0.0,0.0,,,,
ENS98,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,207.63,368.75,161.12,139.0,0.0,1.0,,,,
ENS105,0.0,Dept. MOSIM,PERM,100.0,60-40,10.0,222.53,330.55,108.02,108.0,0.0,0.0,,,,
ENS108,0.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,200.0,305.5,105.5,105.5,0.0,0.0,,,,
ENS113,0.0,Dept. INFO,PERM,100.0,60-40,10.0,216.63,400.0,183.37,140.0,0.0,1.0,,,,
ENS114,0.0,Dept. INFO,PERM,100.0,60-40,5.0,275.0,303.0,28.0,28.0,0.0,0.0,,,,
ENS119,0.0,Dept. INFO,PERM,100.0,80-20,20.0,250.01,399.81,149.8,139.31,0.0,1.0,,,,
ENS124,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,260.5,302.0,41.5,41.0,0.0,0.0,,,,
ENS126,0.0,Dept. LAC,PERM,100.0,80-20,35.0,172.03,322.7,150.67,139.0,0.0,1.0,,,,
ENS130,48.0,Dept. SE,PERM,100.0,80-20,0.0,476.1,599.2,123.1,92.0,0.0,1.0,,,,
ENS134,16.0,Dept. SYLE,PERM,100.0,60-40,20.0,200.0,275.9,75.9,75.8,0.0,0.0,,,,
ENS135,0.0,Dept. SYLE,PERM,100.0,60-40,7.0,243.0,385.47,142.47,140.0,0.0,1.0,,,,
ENS139,0.0,Dept. INFO,PERM,100.0,60-40,15.0,225.0,422.0,197.0,140.0,0.0,1.0,,,,
ENS140,0.0,Dept. SE,PERM,100.0,60-40,10.0,201.01,382.4,181.39,140.0,0.0,1.0,,,,
ENS141,24.0,Dept. LAC,PERM,100.0,60-40,18.0,210.0,328.65,118.65,115.6,0.0,1.0,,,,
ENS142,46.5,Dept. SE,PERM,100.0,60-40,30.0,139.01,236.0,96.99,93.0,0.0,1.0,,,,
ENS144,0.0,Dept. SYLE,CDI,100.0,60-40,20.0,200.0,319.5,119.5,118.0,0.0,0.0,,,,
ENS149,0.0,Dept. INFO,PERM,100.0,80-20,50.0,130.77,180.5,49.73,0.0,0.0,0.0,,,,
