,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,452.12,152.12,140.0,0.0,1.0,100.4,5.0,14.0,19.483333333333334
ENS4,0.0,Dept. ISYS,CDI,100.0,60-40,20.0,200.0,376.67,176.67,140.0,0.0,1.0,105.06666666666666,16.0,20.0,16.329166666666666
ENS6,0.0,Dept. SEN,CDI,100.0,60-40,4.0,281.8,428.5,146.7,140.0,0.0,1.0,25.733333333333334,1.0,4.5,5.8
ENS7,42.0,Dept. ISYS,PERM,100.0,80-20,16.0,205.0,305.25,100.25,98.0,0.0,1.0,181.16666666666666,22.0,41.5,30.731944444444448
ENS10,0.0,Dept. ISYS,PERM,100.0,60-40,13.0,205.0,390.25,185.25,140.0,0.0,1.0,70.0,8.0,14.5,10.958333333333334
ENS11,0.0,Dept. ISYS,CDD,100.0,80-20,0.0,400.0,472.4,72.4,72.4,0.0,0.0,55.06666666666666,4.0,13.0,9.958333333333334
ENS12,0.0,Dept. ISYS,PERM,100.0,80-20,13.0,309.94,365.94,56.0,30.0,0.0,0.0,53.400000000000006,5.0,12.0,9.588888888888889
ENS13,0.0,Dept. ISYS,PERM,100.0,60-40,15.0,220.08,374.17,154.09,140.0,0.0,1.0,81.0,11.0,15.5,12.4125
ENS14,32.0,Dept. IT,CDI,100.0,60-40,20.0,200.0,218.0,18.0,18.0,0.0,0.0,37.6,5.5,5.5,5.683333333333334
ENS15,0.0,Dept. IT,PERM,100.0,60-40,35.0,125.0,266.0,141.0,140.0,0.0,1.0,90.5,13.0,15.0,10.404861111111112
ENS22,0.0,Dept. ISYS,CDI,100.0,60-40,10.0,240.43,350.5,110.07,110.0,0.0,0.0,47.0,6.5,8.5,6.520833333333333
ENS26,0.0,Dept. MTEL,PERM,100.0,60-40,15.0,201.0,272.0,71.0,71.0,0.0,0.0,94.8,4.5,25.0,20.59583333333333
ENS27,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,463.0,63.0,63.0,0.0,0.0,74.10000000000001,10.0,16.0,11.225
ENS31,0.0,Dept. IT,PERM,100.0,60-40,10.0,243.17,388.6,145.43,70.0,0.0,1.0,53.8,7.833333333333333,10.333333333333334,8.545833333333333
ENS33,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,469.0,169.0,140.0,0.0,1.0,69.33333333333333,10.0,13.0,10.333333333333334
ENS34,12.0,Dept. IT,PERM,100.0,60-40,20.0,200.0,300.0,100.0,100.0,0.0,0.0,81.26666666666668,9.5,15.0,13.29861111111111
ENS35,0.0,Dept. MTEL,CDD,100.0,80-20,9.0,355.0,422.0,67.0,67.0,0.0,0.0,124.93333333333332,6.0,31.0,27.95
ENS38,0.0,Dept. IT,PERM,100.0,80-20,20.0,300.0,439.0,139.0,139.0,0.0,0.0,111.4,18.5,19.0,15.615277777777779
ENS39,0.0,Dept. ISYS,CDD,100.0,80-20,0.0,400.0,439.0,39.0,51.0,1.0,0.0,6.0,1.0,1.0,1.0
ENS43,82.0,Dept. MTEL,PERM,100.0,60-40,30.0,150.0,178.5,28.5,28.5,0.0,0.0,42.0,3.5,9.0,8.125
ENS44,0.0,Dept. ISYS,CDD,100.0,80-20,0.0,400.0,419.0,19.0,19.0,0.0,0.0,14.666666666666666,2.0,3.0,2.7333333333333334
ENS48,0.0,Dept. SEN,CDD,100.0,80-20,0.0,400.0,472.0,72.0,72.0,0.0,0.0,24.666666666666668,1.0,2.0,4.419444444444445
ENS49,0.0,Dept. ISYS,PERM,100.0,80-20,10.0,350.0,465.25,115.25,115.25,0.0,0.0,86.9,10.5,20.0,14.237499999999999
ENS52,0.0,Dept. MTEL,CDI,100.0,60-40,20.0,200.0,368.0,168.0,140.0,0.0,1.0,18.0,3.0,3.0,2.416666666666667
ENS58,0.0,Dept. ISYS,PERM,100.0,60-40,20.0,200.0,341.5,141.5,140.0,0.0,1.0,55.4,3.5,10.0,11.5
ENS60,6.0,Dept. ISYS,PERM,100.0,60-40,0.0,300.0,374.25,74.25,74.25,0.0,0.0,44.73333333333333,4.0,9.0,8.433333333333334
ENS61,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,300.0,462.17,162.17,140.0,0.0,1.0,105.06666666666666,10.0,21.0,19.430555555555557
ENS63,0.0,Dept. IT,PERM,100.0,60-40,10.0,250.0,294.5,44.5,44.5,0.0,0.0,38.0,5.5,7.0,5.6875
ENS64,0.0,Dept. MTEL,PERM,100.0,60-40,25.0,175.0,296.25,121.25,121.25,0.0,0.0,228.0666666666667,25.5,79.0,44.69027777777778
ENS65,0.0,Dept. ISYS,PERM,100.0,60-40,14.0,230.0,417.5,187.5,140.0,0.0,1.0,154.00000000000003,23.5,34.0,21.02222222222221
ENS67,0.0,Dept. IT,PERM,100.0,60-40,35.0,125.0,134.0,9.0,9.0,0.0,0.0,20.0,2.0,4.0,2.375
ENS68,0.0,Dept. ISYS,PERM,100.0,80-20,40.0,200.0,398.71,198.71,198.71,1.0,1.0,183.26666666666665,9.0,49.0,38.775
ENS71,0.0,Dept. SEN,PERM,100.0,60-40,10.0,240.44,361.3,120.86,120.86,0.0,0.0,71.63333333333334,12.5,13.5,10.675
ENS73,0.0,Dept. MTEL,CDI,45.0,Autre,22.0,175.0,181.0,6.0,6.0,0.0,0.0,615.6,36.0,110.0,127.89166666666667
ENS77,0.0,Dept. IT,PERM,100.0,60-40,35.0,125.0,268.0,143.0,140.0,0.0,1.0,51.5,7.5,9.5,6.185416666666666
ENS78,80.0,Dept. MTEL,PERM,100.0,60-40,10.0,262.0,284.0,22.0,22.0,0.0,0.0,25.0,2.5,5.0,4.6875
ENS80,0.0,Dept. IT,PERM,100.0,80-20,10.0,350.0,528.5,178.5,140.0,0.0,1.0,52.0,7.5,9.5,8.444444444444445
ENS81,0.0,Dept. ISYS,PERM,100.0,60-40,10.0,250.0,451.67,201.67,140.0,0.0,1.0,39.199999999999996,6.0,7.5,6.0875
ENS82,0.0,Dept. MTEL,PERM,100.0,80-20,20.0,300.0,437.25,137.25,137.25,0.0,0.0,196.33333333333334,8.0,51.0,43.84722222222222
ENS84,0.0,Dept. ISYS,PERM,100.0,80-20,4.0,380.0,666.23,286.23,250.0,1.0,1.0,173.0,9.5,21.5,32.10416666666667
ENS86,0.0,Dept. MTEL,PERM,100.0,60-40,5.0,275.0,419.0,144.0,140.0,0.0,1.0,87.86666666666667,13.5,19.0,14.358333333333333
ENS87,0.0,Dept. ISYS,PERM,100.0,60-40,35.0,125.0,129.5,4.5,0.0,0.0,0.0,74.6,12.5,12.5,5.2250000000000005
ENS88,0.0,Dept. SEN,PERM,100.0,60-40,24.0,180.0,258.0,78.0,78.0,0.0,0.0,18.0,3.0,3.0,2.5
ENS90,0.0,Dept. MTEL,PERM,100.0,80-20,8.0,310.0,416.0,106.0,66.0,0.0,0.0,116.0,4.0,33.0,25.269444444444446
ENS93,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,437.0,137.0,137.0,0.0,0.0,70.8,8.0,13.0,8.966666666666667
ENS95,0.0,Dept. MTEL,PERM,100.0,80-20,18.0,310.0,410.5,100.5,100.0,0.0,0.0,161.53333333333333,4.5,31.5,36.56666666666667
ENS96,0.0,Dept. ISYS,CDI,100.0,60-40,20.0,200.0,346.5,146.5,140.0,0.0,1.0,91.6,15.0,18.0,12.436111111111112
ENS97,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,409.5,109.5,109.5,0.0,0.0,98.93333333333334,7.333333333333333,20.333333333333336,20.111111111111114
ENS98,0.0,Dept. ISYS,PERM,100.0,60-40,4.0,280.0,436.0,156.0,140.0,0.0,1.0,69.73333333333332,7.5,13.0,11.255555555555556
ENS105,0.0,Dept. SEN,PERM,100.0,80-20,4.0,380.0,516.35,136.35,136.0,0.0,0.0,165.4,7.5,17.5,31.195833333333333
ENS106,0.0,Dept. SEN,PERM,100.0,60-40,16.0,86.56,224.5,137.94,137.94,0.0,0.0,62.0,11.0,11.0,7.743055555555555
ENS108,0.0,Dept. ISYS,PERM,100.0,60-40,35.0,125.0,261.5,136.5,136.5,0.0,0.0,35.0,7.5,8.5,5.126388888888889
ENS113,16.0,Dept. IT,PERM,100.0,60-40,10.0,250.0,376.0,126.0,124.0,0.0,1.0,94.6,9.833333333333332,19.333333333333336,15.851388888888888
ENS114,0.0,Dept. IT,PERM,100.0,60-40,20.0,200.0,251.5,51.5,51.5,0.0,0.0,39.5,3.5,6.5,6.819444444444445
ENS116,0.0,Dept. SEN,PERM,100.0,60-40,34.0,130.0,253.15,123.15,123.0,0.0,0.0,208.13333333333333,20.5,40.0,39.419444444444444
ENS118,0.0,Dept. IT,CDI,100.0,60-40,0.0,300.0,322.0,22.0,22.0,0.0,0.0,50.0,7.0,9.0,6.208333333333333
ENS119,0.0,Dept. IT,PERM,100.0,80-20,12.0,225.0,345.69,120.69,120.69,0.0,0.0,142.33333333333331,8.0,20.0,30.375
ENS121,0.0,Dept. MTEL,PERM,100.0,80-20,9.0,325.0,411.15,86.15,86.0,0.0,0.0,139.23333333333332,9.0,38.0,29.041666666666668
ENS124,36.0,Dept. IT,PERM,100.0,80-20,50.0,150.0,272.2,122.2,104.0,0.0,1.0,50.26666666666666,8.0,11.0,7.96111111111111
ENS132,0.0,Dept. MTEL,PERM,100.0,80-20,8.0,360.0,490.34,130.34,130.34,0.0,0.0,273.9333333333334,23.0,65.0,53.95277777777777
ENS135,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,233.25,387.5,154.25,140.0,0.0,1.0,25.966666666666665,3.5,5.5,3.833333333333333
ENS138,24.0,Dept. MTEL,PERM,100.0,80-20,30.0,250.0,430.0,180.0,139.0,1.0,1.0,169.0,32.0,39.0,29.180555555555557
ENS139,0.0,Dept. IT,PERM,100.0,60-40,20.0,195.63,287.0,91.37,91.37,0.0,0.0,232.8,30.5,45.5,37.0375
ENS140,0.0,Dept. ISYS,PERM,100.0,60-40,17.0,215.0,427.25,212.25,140.0,0.0,1.0,106.66666666666666,10.0,22.0,17.102777777777774
ENS141,0.0,Dept. MTEL,PERM,100.0,60-40,0.0,300.0,405.5,105.5,105.5,0.0,0.0,57.2,4.0,13.0,11.583333333333334
ENS143,0.0,Dept. ISYS,CDD,100.0,80-20,-1.0,403.83,667.0,263.17,250.0,1.0,1.0,195.46666666666667,4.0,22.0,43.1
ENS144,0.0,Dept. SEN,PERM,100.0,60-40,35.0,125.0,248.94,123.94,123.5,0.0,0.0,38.666666666666664,3.0,6.5,6.833333333333333
ENS145,6.0,Dept. ISYS,CDI,100.0,60-40,10.0,250.0,367.0,117.0,117.0,0.0,0.0,72.6,7.0,14.0,13.661111111111111
ENS146,0.0,Dept. IT,CDI,100.0,60-40,15.0,225.0,287.0,62.0,62.0,0.0,0.0,28.466666666666665,4.5,6.0,4.472222222222222
ENS148,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,304.0,4.0,4.0,0.0,0.0,20.0,2.0,4.0,3.25
ENS150,0.0,Dept. SEN,PERM,100.0,60-40,20.0,200.0,447.8,247.8,180.0,1.0,1.0,203.9,34.5,35.5,20.22083333333333
ENS151,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,50.27,73.0,22.73,23.23,1.0,0.0,14.4,2.0,2.0,0.7416666666666666
ENS152,0.0,Dept. ISYS,PERM,100.0,80-20,10.0,320.0,492.5,172.5,156.0,1.0,1.0,135.93333333333334,21.0,26.0,21.225
ENS159,0.0,Dept. IT,PERM,50.0,Autre,20.0,200.0,278.0,78.0,78.0,0.0,0.0,35.333333333333336,2.0,7.0,6.833333333333334
ENS162,0.0,Dept. SEN,PERM,100.0,80-20,4.0,380.0,491.03,111.03,111.03,0.0,0.0,142.0,10.0,31.0,26.677777777777777
ENS163,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,313.0,13.0,13.0,0.0,0.0,79.06666666666666,12.0,17.0,11.091666666666667
ENS165,0.0,Dept. IT,PERM,100.0,60-40,30.0,150.0,287.0,137.0,137.0,0.0,0.0,60.2,12.0,12.0,5.841666666666667
ENS166,0.0,Dept. ISYS,PERM,100.0,60-40,12.0,240.0,366.5,126.5,126.5,0.0,0.0,39.6,5.0,7.0,6.933333333333334
ENS168,0.0,Dept. ISYS,PERM,100.0,60-40,2.0,290.0,374.67,84.67,84.67,0.0,0.0,69.6,5.0,14.0,14.558333333333332
ENS171,0.0,Dept. ISYS,PERM,100.0,80-20,23.0,285.0,313.7,28.7,0.0,0.0,0.0,75.8,8.0,20.0,12.05
ENS174,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,472.25,72.25,72.25,0.0,0.0,46.0,7.0,8.0,6.291666666666667
ENS175,16.0,Dept. IT,PERM,100.0,60-40,10.0,250.0,371.5,121.5,121.5,0.0,0.0,57.53333333333333,6.5,11.5,8.625
ENS181,0.0,Dept. SEN,PERM,100.0,60-40,4.0,280.0,406.4,126.4,126.4,0.0,0.0,104.53333333333333,7.0,18.5,21.454166666666666
ENS183,0.0,Dept. SEN,PERM,100.0,60-40,10.0,250.0,312.4,62.4,62.4,0.0,0.0,71.56666666666666,11.5,13.5,10.005555555555556
ENS185,12.0,Dept. ISYS,PERM,100.0,80-20,20.0,185.0,293.04,108.04,108.04,0.0,0.0,22.1,3.5,4.5,2.547222222222222
