,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,341.5,41.5,41.51,1.0,0.0,,,,
ENS7,42.0,Dept. SYLE,PERM,100.0,80-20,18.0,310.0,408.0,98.0,98.0,0.0,0.0,,,,
ENS9,0.0,BIO,PERM,100.0,Autre,50.0,250.0,414.17,164.17,150.01,1.0,1.0,,,,
ENS10,16.0,Dept. SE,PERM,100.0,60-40,5.0,273.63,399.5,125.87,124.0,0.0,1.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,300.0,405.25,105.25,105.25,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,12.0,198.0,317.5,119.5,119.5,0.0,0.0,,,,
ENS15,0.0,Dept. INFO,PERM,100.0,60-40,21.0,195.0,278.0,83.0,83.0,0.0,0.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,15.0,254.5,288.5,34.0,0.0,0.0,0.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,360.58,422.0,61.42,61.0,0.0,0.0,,,,
ENS25,0.0,Dept. TELECOMS,PERM,100.0,60-40,15.0,222.25,426.4,204.15,140.0,0.0,1.0,,,,
ENS26,0.0,MGT EM,PERM,100.0,60-40,4.0,280.0,396.75,116.75,116.75,0.0,0.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,12.0,306.63,519.84,213.21,140.0,0.0,1.0,,,,
ENS31,0.0,Dept. INFO,PERM,100.0,60-40,10.0,250.0,323.0,73.0,73.0,0.0,0.0,,,,
ENS33,0.0,Dept. INFO,PERM,100.0,60-40,0.0,269.78,315.75,45.97,45.0,0.0,0.0,,,,
ENS38,0.0,ICN,PERM,100.0,Autre,56.0,220.0,469.0,249.0,249.0,1.0,1.0,,,,
ENS43,0.0,MGT EM,PERM,100.0,60-40,4.0,280.0,381.0,101.0,101.01,1.0,0.0,,,,
ENS46,0.0,Dept. TELECOMS,CDD,100.0,60-40,0.0,234.07,287.25,53.18,0.0,0.0,0.0,,,,
ENS49,0.0,Dept. TELECOMS,PERM,100.0,80-20,18.0,310.0,337.48,27.48,27.0,0.0,0.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,295.88,317.0,21.12,20.0,0.0,0.0,,,,
ENS52,0.0,MGT EM,PERM,100.0,60-40,30.0,150.0,285.25,135.25,143.25,1.0,0.0,,,,
ENS58,18.0,Dept. SYLE,PERM,100.0,60-40,0.0,300.0,347.75,47.75,47.5,0.0,0.0,,,,
ENS60,0.0,Dept. SE,PERM,100.0,60-40,0.0,300.0,335.47,35.47,35.0,0.0,0.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,0.0,300.0,440.5,140.5,140.0,0.0,1.0,,,,
ENS64,0.0,MGT EM,PERM,100.0,60-40,4.0,280.0,354.0,74.0,89.01,1.0,0.0,,,,
ENS65,0.0,Dept. TELECOMS,PERM,100.0,60-40,25.0,175.0,212.0,37.0,36.0,0.0,0.0,,,,
ENS68,0.0,Dept. MOSIM,CDD,100.0,Autre,20.0,400.0,542.06,142.06,140.0,0.0,1.0,,,,
ENS69,0.0,Dept. TELECOMS,CDI,100.0,60-40,0.0,294.51,305.0,10.49,0.0,0.0,0.0,,,,
ENS70,0.0,MGT EM,PERM,100.0,Autre,44.0,280.0,338.13,58.13,58.01,0.0,0.0,,,,
ENS73,0.0,Dept. LAC,CDI,45.0,Autre,33.0,150.0,253.55,103.55,49.0,0.0,0.0,,,,
ENS74,0.0,Dept. LAC,PERM,50.0,80-20,0.0,79.56,221.47,141.91,0.0,0.0,1.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,80-20,50.0,150.0,155.75,5.75,20.0,1.0,0.0,,,,
