,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. IT,PERM,100.0,60-40,0.0,287.88,426.69,138.81,138.81,0.0,0.0,102.66666666666666,6.0,14.0,19.48611111111111
ENS4,0.0,Dept. ISYS,CDI,100.0,60-40,15.0,205.0,358.5,153.5,140.0,0.0,1.0,121.2,18.5,20.5,17.276388888888892
ENS6,0.0,Dept. SEN,CDI,100.0,60-40,25.0,165.98,325.5,159.52,140.0,0.0,1.0,33.44444444444444,3.8333333333333335,6.5,5.918518518518519
ENS7,42.0,Dept. ISYS,PERM,100.0,80-20,16.0,203.88,321.0,117.12,98.0,0.0,1.0,156.79999999999998,20.5,37.5,29.601388888888884
ENS10,0.0,Dept. ISYS,PERM,100.0,60-40,13.0,215.0,479.5,264.5,186.13,1.0,1.0,66.66666666666666,8.0,13.5,10.818055555555556
ENS12,0.0,Dept. ISYS,PERM,100.0,80-20,11.0,301.11,442.41,141.3,120.0,0.0,1.0,58.0,5.0,12.0,9.666666666666668
ENS13,0.0,Dept. ISYS,PERM,100.0,60-40,20.0,185.91,397.0,211.09,165.55,1.0,1.0,73.26666666666667,10.0,14.5,11.7625
ENS14,30.0,Dept. IT,CDI,100.0,60-40,30.0,150.0,234.0,84.0,84.0,0.0,0.0,96.8,15.5,15.5,15.05
ENS15,0.0,Dept. IT,PERM,100.0,60-40,29.0,113.07,255.5,142.43,140.0,0.0,1.0,87.76666666666667,12.5,14.5,9.862500000000002
ENS27,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,484.5,84.5,84.5,0.0,0.0,59.16666666666667,8.0,12.0,9.775
ENS31,0.0,Dept. IT,PERM,0.0,60-40,20.0,93.75,177.5,83.75,17.0,0.0,0.0,58.4,9.0,11.0,8.916666666666666
ENS33,0.0,Dept. IT,PERM,100.0,60-40,0.0,280.0,476.0,196.0,158.0,1.0,1.0,69.86666666666667,11.0,14.0,11.366666666666669
ENS34,12.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,356.5,131.5,128.0,0.0,1.0,91.26666666666668,10.5,17.0,14.54861111111111
ENS35,0.0,Dept. MTEL,CDD,100.0,80-20,9.0,355.0,447.0,92.0,92.0,0.0,0.0,150.56666666666666,5.0,30.0,33.16666666666667
ENS38,0.0,Dept. IT,PERM,100.0,80-20,20.0,300.0,444.5,144.5,140.0,0.0,1.0,124.0,19.5,21.5,20.51111111111111
ENS42,0.0,Dept. ISYS,CDD,100.0,80-20,0.0,397.82,625.5,227.68,140.0,0.0,1.0,26.733333333333334,4.0,5.0,4.219444444444445
ENS43,112.0,Dept. MTEL,PERM,100.0,60-40,30.0,150.0,186.5,36.5,27.5,0.0,1.0,26.933333333333337,4.0,5.0,4.8
ENS48,0.0,Dept. SEN,CDD,100.0,80-20,0.0,310.38,494.0,183.62,183.62,1.0,1.0,37.0,0.8333333333333333,3.1666666666666665,8.0
ENS49,0.0,Dept. SEN,PERM,100.0,80-20,10.0,350.0,462.0,112.0,112.0,0.0,0.0,102.80000000000001,8.5,23.5,18.491666666666667
ENS52,0.0,Dept. MTEL,CDI,100.0,60-40,20.0,172.0,289.5,117.5,117.0,0.0,0.0,25.866666666666667,3.0,8.0,4.955555555555556
ENS53,0.0,Dept. ISYS,CDI,100.0,60-40,0.0,300.0,390.0,90.0,90.0,0.0,0.0,18.4,3.0,4.0,2.319444444444444
ENS56,0.0,Dept. IT,CDI,100.0,60-40,0.0,300.0,333.0,33.0,33.0,0.0,0.0,38.0,1.0,9.0,8.333333333333334
ENS58,0.0,Dept. ISYS,PERM,100.0,60-40,26.0,168.5,351.5,183.0,151.5,1.0,1.0,86.1,3.5,17.5,18.6875
ENS60,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,300.0,406.5,106.5,106.5,0.0,0.0,32.33333333333333,3.0,6.0,5.716666666666667
ENS61,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,300.0,493.52,193.52,156.76,1.0,1.0,90.13333333333333,8.0,19.0,17.28055555555556
ENS62,18.0,Dept. SEN,PERM,100.0,60-40,10.0,250.0,349.25,99.25,99.25,0.0,0.0,2.8,0.5,0.5,0.4666666666666667
ENS63,0.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,319.0,94.0,94.0,0.0,0.0,44.0,6.5,8.0,6.109722222222223
ENS64,0.0,Dept. MTEL,PERM,100.0,60-40,25.0,175.0,332.13,157.13,140.0,0.0,1.0,325.00000000000006,28.0,103.0,64.81666666666666
ENS65,0.0,Dept. ISYS,PERM,100.0,60-40,14.0,210.0,400.25,190.25,155.13,1.0,1.0,125.73333333333332,20.5,28.0,20.566666666666666
ENS68,0.0,Dept. ISYS,PERM,100.0,80-20,40.0,200.0,398.29,198.29,198.29,1.0,1.0,269.1,5.0,25.0,58.21805555555556
ENS71,0.0,Dept. SEN,PERM,100.0,60-40,10.0,250.0,398.5,148.5,140.0,0.0,1.0,72.46666666666667,11.333333333333334,15.333333333333334,11.33472222222222
ENS73,0.0,Dept. MTEL,PERM,45.0,Autre,22.0,175.0,199.5,24.5,24.5,0.0,0.0,588.0,28.0,102.0,124.95833333333334
ENS77,0.0,Dept. IT,PERM,100.0,60-40,35.0,122.0,255.4,133.4,133.4,0.0,0.0,43.5,7.5,8.5,4.730555555555555
ENS80,0.0,Dept. IT,PERM,100.0,80-20,10.0,330.0,540.5,210.5,165.25,1.0,1.0,35.6,5.5,6.5,5.252777777777778
ENS81,0.0,Dept. ISYS,PERM,100.0,60-40,15.0,205.0,410.5,205.5,162.75,1.0,1.0,35.266666666666666,6.5,7.0,4.275
ENS82,0.0,Dept. MTEL,PERM,100.0,80-20,20.0,300.0,456.5,156.5,140.0,0.0,1.0,186.53333333333336,9.0,53.0,41.086111111111116
ENS83,0.0,Dept. ISYS,CDD,100.0,Autre,0.0,278.69,307.0,28.31,28.31,0.0,0.0,,,,
ENS84,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,380.0,716.69,336.69,282.35,1.0,1.0,166.53333333333333,6.0,20.5,33.10416666666667
ENS86,0.0,Dept. MTEL,PERM,100.0,60-40,5.0,270.25,394.0,123.75,123.75,0.0,0.0,103.06666666666668,15.0,25.0,16.552777777777777
ENS87,0.0,Dept. ISYS,PERM,100.0,60-40,35.0,125.0,165.0,40.0,40.0,0.0,0.0,45.0,7.5,7.5,3.75
ENS88,20.0,Dept. SEN,PERM,100.0,60-40,35.0,125.0,257.0,132.0,120.0,0.0,1.0,24.0,4.0,4.0,3.0416666666666665
ENS89,0.0,Dept. ISYS,CDI,100.0,60-40,5.0,275.0,431.5,156.5,140.0,0.0,1.0,42.0,6.0,7.0,5.569444444444445
ENS90,0.0,Dept. MTEL,PERM,100.0,80-20,8.0,310.5,453.38,142.88,95.0,0.0,1.0,88.46666666666667,5.5,34.5,18.875
ENS93,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,452.5,152.5,140.0,0.0,1.0,61.8,9.0,11.0,8.844444444444445
ENS95,0.0,Dept. MTEL,PERM,100.0,80-20,13.0,335.0,406.0,71.0,71.0,0.0,0.0,151.46666666666667,4.0,28.0,33.95555555555556
ENS96,0.0,Dept. ISYS,PERM,100.0,60-40,20.0,192.43,316.25,123.82,123.82,0.0,0.0,66.4,11.0,13.0,7.897222222222221
ENS98,0.0,Dept. ISYS,PERM,100.0,60-40,4.0,264.0,475.5,211.5,171.75,1.0,1.0,69.73333333333333,7.5,13.0,11.519444444444444
ENS105,0.0,Dept. SEN,PERM,100.0,80-20,13.0,334.65,511.15,176.5,170.0,1.0,1.0,174.00000000000003,5.0,20.166666666666668,35.422222222222224
ENS108,0.0,Dept. ISYS,PERM,100.0,60-40,35.0,125.0,308.5,183.5,151.75,1.0,1.0,62.93333333333334,10.5,14.5,9.32638888888889
ENS110,0.0,Dept. ISYS,CDI,100.0,60-40,10.0,250.0,345.0,95.0,76.0,0.0,0.0,49.733333333333334,6.0,9.5,6.947222222222222
ENS113,14.0,Dept. IT,PERM,100.0,60-40,10.0,241.2,425.5,184.3,145.15,1.0,1.0,72.6,8.0,15.5,13.333333333333334
ENS114,0.0,Dept. IT,PERM,100.0,60-40,10.0,250.0,329.6,79.6,79.6,0.0,0.0,49.0,5.5,8.5,8.416666666666666
ENS116,0.0,Dept. SEN,PERM,100.0,60-40,35.0,122.27,322.0,199.73,188.0,1.0,1.0,158.3,11.833333333333334,32.66666666666667,31.408333333333335
ENS118,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,451.0,151.0,140.0,0.0,1.0,50.0,7.0,9.0,6.666666666666666
ENS119,0.0,Dept. IT,PERM,100.0,80-20,12.0,149.59,276.27,126.68,126.68,0.0,0.0,99.93333333333332,6.0,16.0,19.152777777777775
ENS121,0.0,Dept. MTEL,PERM,100.0,80-20,14.0,330.0,501.04,171.04,145.52,1.0,1.0,189.36666666666662,8.0,33.0,39.324999999999996
ENS122,0.0,Dept. SEN,PERM,100.0,60-40,5.0,267.49,368.0,100.51,100.51,0.0,0.0,6.6,1.8333333333333333,1.8333333333333333,1.0999999999999999
ENS124,36.0,Dept. IT,PERM,100.0,80-20,50.0,131.8,253.5,121.7,104.0,0.0,1.0,50.8,8.0,9.0,8.8
ENS132,0.0,Dept. MTEL,PERM,100.0,80-20,8.0,360.0,485.66,125.66,125.66,0.0,0.0,312.73333333333323,23.0,79.0,58.259722222222216
ENS134,0.0,Dept. ISYS,PERM,100.0,80-20,12.0,394.69,583.0,188.31,154.16,1.0,1.0,25.2,5.0,5.0,3.0666666666666664
ENS135,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,285.75,480.0,194.25,157.13,1.0,1.0,25.96666666666667,3.5,5.5,4.033333333333333
ENS138,24.0,Dept. MTEL,PERM,100.0,80-20,30.0,250.0,376.75,126.75,116.0,0.0,1.0,174.79999999999998,32.0,39.0,30.147222222222222
ENS139,0.0,Dept. IT,PERM,100.0,80-20,40.0,200.0,380.5,180.5,180.0,1.0,1.0,305.80000000000007,42.0,58.0,51.8375
ENS140,0.0,Dept. ISYS,PERM,100.0,60-40,17.0,195.0,422.0,227.0,173.5,1.0,1.0,85.0,9.0,17.0,13.458333333333332
ENS141,0.0,Dept. MTEL,PERM,100.0,60-40,0.0,34.43,40.5,6.07,0.0,0.0,0.0,12.0,2.0,2.0,1.25
ENS143,0.0,Dept. ISYS,CDD,100.0,80-20,-1.0,390.66,580.0,189.34,189.34,1.0,1.0,98.0,1.0,10.0,23.333333333333336
ENS144,0.0,Dept. SEN,PERM,100.0,60-40,35.0,125.0,125.5,0.5,0.0,0.0,0.0,11.2,2.0,2.0,1.4333333333333333
ENS145,0.0,Dept. ISYS,PERM,100.0,60-40,15.0,225.0,354.5,129.5,129.0,0.0,0.0,73.4,7.0,14.0,13.333333333333334
ENS146,0.0,Dept. IT,CDI,100.0,60-40,35.0,117.49,319.0,201.51,182.0,1.0,1.0,53.6,6.0,11.5,9.733333333333333
ENS148,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,440.0,140.0,140.0,0.0,0.0,26.0,3.0,5.0,3.8333333333333335
ENS150,0.0,Dept. SEN,PERM,100.0,60-40,25.0,155.0,324.4,169.4,169.4,1.0,1.0,177.86666666666667,30.0,32.5,18.934722222222227
ENS152,0.0,Dept. ISYS,PERM,100.0,80-20,10.0,333.5,501.51,168.01,144.0,1.0,1.0,126.33333333333333,19.0,24.5,20.208333333333336
ENS153,0.0,Dept. IT,CDI,50.0,80-20,0.0,180.0,422.0,242.0,211.0,1.0,1.0,46.400000000000006,8.0,9.0,7.441666666666666
ENS159,0.0,Dept. IT,PERM,50.0,80-20,0.0,200.0,202.0,2.0,2.0,0.0,0.0,49.733333333333334,3.0,8.0,8.033333333333333
ENS160,0.0,Dept. MTEL,PERM,100.0,80-20,15.0,353.0,430.5,77.5,77.5,0.0,0.0,11.0,1.5,2.5,2.1
ENS162,0.0,Dept. SEN,PERM,100.0,80-20,4.0,380.0,452.83,72.83,72.83,0.0,0.0,139.06666666666666,9.0,31.0,27.041666666666664
ENS163,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,382.5,82.5,82.5,0.0,0.0,69.86666666666667,11.0,16.0,10.802777777777779
ENS165,0.0,Dept. IT,PERM,100.0,60-40,30.0,150.0,295.0,145.0,140.0,0.0,1.0,85.86666666666667,14.0,17.0,10.837500000000002
ENS166,0.0,Dept. ISYS,PERM,100.0,60-40,13.0,235.0,356.0,121.0,121.0,0.0,0.0,24.0,3.0,4.0,4.222222222222222
ENS168,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,300.0,384.69,84.69,84.69,0.0,0.0,68.4,5.0,14.0,14.066666666666666
ENS171,0.0,Dept. ISYS,PERM,100.0,80-20,20.0,271.3,309.96,38.66,0.0,0.0,0.0,58.800000000000004,7.0,16.0,9.716666666666669
ENS174,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,542.75,142.75,140.0,0.0,1.0,34.0,5.0,6.0,4.291666666666667
ENS175,16.0,Dept. IT,PERM,60.0,Autre,80.0,25.74,131.0,105.26,105.26,0.0,0.0,51.53333333333333,5.5,10.5,8.583333333333334
ENS181,0.0,Dept. SEN,PERM,100.0,60-40,0.0,300.0,455.79,155.79,140.0,0.0,1.0,94.77777777777779,5.166666666666666,21.833333333333332,19.64074074074074
ENS183,0.0,Dept. SEN,PERM,100.0,60-40,10.0,248.63,386.0,137.37,137.36,0.0,0.0,87.73333333333333,10.5,17.5,13.198611111111111
ENS185,12.0,Dept. ISYS,PERM,100.0,60-40,0.0,10.33,138.5,128.17,128.0,0.0,1.0,18.1,3.5,3.5,1.7972222222222225
