,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,404.0,104.0,104.0,0.0,0.0,,,,
ENS2,0.0,Dept. TELECOMS,CDD,100.0,60-40,-9.0,234.07,244.0,9.93,9.0,0.0,0.0,,,,
ENS7,72.0,Dept. SYLE,PERM,100.0,80-20,5.0,345.0,410.25,65.25,65.25,0.0,0.0,,,,
ENS10,0.0,Dept. SE,PERM,100.0,60-40,5.0,275.0,441.0,166.0,140.0,0.0,1.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,250.0,341.9,91.9,91.9,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,214.29,388.5,174.21,140.0,0.0,1.0,,,,
ENS15,0.0,Dept. INFO,PERM,100.0,60-40,10.0,218.0,406.0,188.0,140.0,0.0,1.0,,,,
ENS16,30.0,Dept. INFO,PERM,100.0,60-40,0.0,286.26,390.0,103.74,102.0,0.0,0.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,10.0,329.01,345.5,16.49,0.0,0.0,0.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,412.0,112.0,112.0,0.0,0.0,,,,
ENS25,0.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,275.0,432.35,157.35,140.0,0.0,1.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,10.0,341.76,513.0,171.24,140.0,0.0,1.0,,,,
ENS31,0.0,Dept. INFO,CDI,100.0,60-40,0.0,179.12,290.5,111.38,111.0,0.0,0.0,,,,
ENS33,0.0,Dept. INFO,PERM,100.0,60-40,0.0,313.0,328.5,15.5,15.0,0.0,0.0,,,,
ENS49,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,432.5,132.5,111.0,0.0,0.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,300.0,308.5,8.5,8.5,0.0,0.0,,,,
ENS58,0.0,Dept. SYLE,PERM,90.0,60-40,3.0,237.25,364.0,126.75,126.5,0.0,0.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,5.0,275.0,427.5,152.5,140.0,0.0,1.0,,,,
ENS65,0.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,247.25,273.0,25.75,25.5,0.0,0.0,,,,
ENS67,0.0,Dept. INFO,PERM,100.0,60-40,30.0,150.0,160.0,10.0,10.0,0.0,0.0,,,,
ENS73,0.0,Dept. LAC,CDI,45.0,Autre,10.0,143.76,153.0,9.24,0.0,0.0,0.0,,,,
ENS74,0.0,Dept. LAC,PERM,100.0,80-20,0.0,346.0,400.67,54.67,54.0,0.0,0.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,80-20,40.0,200.0,229.56,29.56,29.36,0.0,0.0,,,,
ENS76,0.0,Dept. LAC,PERM,100.0,80-20,10.0,338.29,359.87,21.58,0.0,0.0,0.0,,,,
ENS77,70.0,Dept. INFO,PERM,100.0,60-40,20.0,175.27,247.0,71.73,70.0,0.0,1.0,,,,
