,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. INFO,PERM,100.0,60-40,0.0,73.89,215.0,141.11,140.0,0.0,1.0,,,,
ENS7,42.0,Dept. SYLE,PERM,100.0,80-20,13.0,335.0,531.0,196.0,98.0,0.0,1.0,,,,
ENS8,0.0,Dept. SYLE,CDD,100.0,60-40,0.0,183.61,192.0,8.39,0.0,0.0,0.0,,,,
ENS10,24.0,Dept. SE,PERM,100.0,60-40,5.0,228.0,394.0,166.0,116.0,0.0,1.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,80-20,0.0,353.0,485.0,132.0,132.0,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,15.0,218.85,369.5,150.65,140.0,0.0,1.0,,,,
ENS15,0.0,Dept. INFO,PERM,100.0,60-40,21.0,195.0,342.5,147.5,140.0,0.0,1.0,,,,
ENS16,56.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,416.0,116.0,84.0,0.0,1.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,316.0,16.0,0.0,0.0,0.0,,,,
ENS25,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,263.93,456.0,192.07,140.0,0.0,1.0,,,,
ENS26,0.0,MGT EM,PERM,100.0,60-40,8.0,260.0,421.25,161.25,161.24,1.0,1.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,12.0,340.0,493.87,153.87,140.0,0.0,1.0,,,,
ENS30,0.0,ENE,CDI,100.0,60-40,20.0,200.0,256.0,56.0,56.0,0.0,0.0,,,,
ENS31,0.0,Dept. INFO,PERM,100.0,60-40,8.0,262.0,398.0,136.0,136.0,0.0,0.0,,,,
ENS33,40.0,Dept. INFO,PERM,100.0,60-40,15.0,225.0,334.0,109.0,100.0,0.0,1.0,,,,
ENS34,0.0,Dept. INFO,PERM,100.0,60-40,10.0,250.0,328.5,78.5,78.5,0.0,0.0,,,,
ENS38,0.0,ICN,PERM,100.0,60-40,16.0,220.0,467.5,247.5,247.5,1.0,1.0,,,,
ENS43,0.0,MGT EM,PERM,100.0,60-40,20.0,200.0,358.5,158.5,158.5,1.0,1.0,,,,
ENS49,0.0,Dept. TELECOMS,PERM,100.0,80-20,20.0,300.0,447.0,147.0,140.0,0.0,1.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,13.0,231.82,325.5,93.68,93.0,0.0,0.0,,,,
