,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,448.86,148.86,148.86,1.0,1.0,90.4,5.0,20.0,18.441666666666666
ENS4,0.0,Dept. ISYS,CDI,100.0,60-40,18.0,136.56,277.0,140.44,140.0,0.0,1.0,63.13333333333334,9.5,12.5,8.620833333333335
ENS7,42.0,Dept. ISYS,PERM,100.0,80-20,16.0,202.76,325.5,122.74,119.5,1.0,1.0,169.66666666666669,21.0,42.0,28.291666666666668
ENS10,0.0,Dept. ISYS,PERM,100.0,60-40,4.0,280.0,479.13,199.13,199.0,1.0,1.0,58.33333333333333,7.5,13.5,9.147222222222222
ENS12,0.0,Dept. ISYS,PERM,100.0,80-20,12.0,340.13,430.46,90.33,64.33,0.0,0.0,72.46666666666667,5.5,16.5,14.633333333333333
ENS13,0.0,Dept. ISYS,PERM,100.0,60-40,10.0,250.0,412.0,162.0,162.0,1.0,1.0,81.69999999999999,13.0,14.0,10.058333333333332
ENS15,0.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,367.0,142.0,140.0,0.0,1.0,67.0,11.0,12.0,7.543055555555555
ENS22,0.0,Dept. ISYS,CDI,100.0,60-40,18.0,210.0,326.0,116.0,116.0,0.0,0.0,26.0,3.0,5.0,3.1666666666666665
ENS26,40.0,Dept. MTEL,PERM,100.0,60-40,12.0,247.38,274.0,26.62,26.62,0.0,0.0,104.0,5.0,23.5,22.395833333333336
ENS27,0.0,Dept. ISYS,PERM,100.0,80-20,14.0,330.0,458.5,128.5,128.5,0.0,0.0,146.53333333333336,23.5,36.5,19.943055555555556
ENS31,0.0,Dept. IT,PERM,100.0,60-40,0.0,45.9,67.0,21.1,21.1,0.0,0.0,46.8,6.833333333333333,10.333333333333334,6.261111111111111
ENS33,0.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,365.75,140.75,140.0,0.0,1.0,81.4,12.0,13.0,11.284722222222221
ENS34,0.0,Dept. IT,PERM,100.0,60-40,15.0,217.62,345.75,128.13,128.13,0.0,0.0,80.19999999999999,14.0,14.0,11.57638888888889
ENS38,0.0,Dept. IT,PERM,100.0,60-40,20.0,174.86,345.0,170.14,165.0,1.0,1.0,109.53333333333333,17.0,20.0,14.120833333333334
ENS43,90.0,Dept. MTEL,PERM,100.0,60-40,30.0,150.0,176.0,26.0,26.0,0.0,0.0,49.333333333333336,3.5,11.0,8.291666666666668
ENS45,0.0,Dept. MTEL,CDD,100.0,Autre,30.0,342.04,413.0,70.96,70.96,0.0,0.0,82.0,3.0,19.0,19.0
ENS49,0.0,Dept. ISYS,PERM,100.0,80-20,5.0,375.0,506.5,131.5,131.5,0.0,0.0,103.9,9.5,25.0,19.527777777777775
ENS52,0.0,Dept. MTEL,PERM,100.0,60-40,30.0,150.0,243.0,93.0,69.0,0.0,0.0,16.0,3.0,3.0,1.6388888888888888
ENS54,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,300.0,360.0,60.0,60.0,0.0,0.0,41.06666666666666,6.0,7.0,3.9250000000000003
ENS58,0.0,Dept. ISYS,PERM,100.0,60-40,8.0,260.0,470.5,210.5,180.0,1.0,1.0,83.0,6.5,17.5,16.333333333333332
ENS61,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,295.08,503.41,208.33,196.0,1.0,1.0,95.86666666666667,10.0,19.0,16.666666666666668
ENS64,0.0,Dept. MTEL,PERM,100.0,60-40,20.0,200.0,293.75,93.75,93.75,0.0,0.0,135.6,15.0,43.0,27.474999999999998
ENS65,0.0,Dept. ISYS,PERM,100.0,60-40,2.0,289.21,458.5,169.29,140.0,0.0,1.0,78.13333333333333,11.0,15.0,12.105555555555556
ENS67,0.0,Dept. IT,PERM,100.0,60-40,35.0,125.0,153.0,28.0,28.0,0.0,0.0,20.0,2.0,4.0,2.375
ENS68,0.0,Dept. ISYS,PERM,100.0,80-20,19.0,306.0,518.75,212.75,212.75,1.0,1.0,175.06666666666666,8.5,52.0,38.71666666666666
ENS69,0.0,Dept. IT,CDI,80.0,60-40,3.0,176.0,271.0,95.0,0.0,0.0,0.0,25.066666666666666,3.5,5.5,3.555555555555556
ENS71,0.0,Dept. SEN,PERM,100.0,60-40,20.0,200.0,337.5,137.5,137.5,0.0,0.0,72.6,13.0,14.0,9.92361111111111
ENS73,0.0,Dept. MTEL,CDI,45.0,Autre,32.0,153.0,237.0,84.0,84.0,0.0,0.0,642.0,30.0,110.0,134.58333333333334
ENS75,0.0,Dept. ISYS,PERM,100.0,80-20,55.0,125.0,159.0,34.0,34.0,0.0,0.0,50.53333333333333,2.0,12.0,10.916666666666668
ENS77,24.0,Dept. IT,PERM,100.0,60-40,25.0,175.0,282.0,107.0,107.0,0.0,0.0,42.2,6.0,8.0,5.216666666666666
ENS80,0.0,Dept. IT,PERM,100.0,80-20,8.0,360.0,553.5,193.5,140.0,0.0,1.0,65.66666666666667,11.0,14.0,8.691666666666666
ENS81,0.0,Dept. ISYS,PERM,100.0,60-40,6.0,270.0,312.0,42.0,35.0,0.0,0.0,22.8,1.0,9.0,5.3999999999999995
ENS82,0.0,Dept. MTEL,PERM,100.0,80-20,35.0,225.0,362.25,137.25,137.25,0.0,0.0,191.0,7.0,49.0,42.25
ENS84,0.0,Dept. ISYS,PERM,100.0,80-20,7.0,347.0,635.66,288.66,248.0,1.0,1.0,168.73333333333335,8.5,38.0,37.0
ENS86,0.0,Dept. MTEL,PERM,100.0,60-40,0.0,300.0,426.0,126.0,126.0,0.0,0.0,51.0,5.5,10.0,7.854166666666667
ENS87,0.0,Dept. ISYS,PERM,100.0,60-40,20.0,193.44,261.25,67.81,67.81,0.0,0.0,96.66666666666666,16.5,17.5,6.445833333333333
ENS88,66.0,Dept. SEN,PERM,100.0,60-40,25.0,171.17,229.0,57.83,57.83,0.0,0.0,21.0,4.0,4.0,2.625
ENS90,0.0,Dept. MTEL,PERM,100.0,80-20,10.0,308.51,403.23,94.72,41.79,0.0,0.0,118.5,4.5,33.5,25.686111111111114
ENS92,0.0,Dept. IT,PERM,80.0,80-20,6.0,263.5,403.5,140.0,140.0,0.0,0.0,51.0,5.5,8.5,6.861111111111112
ENS93,0.0,Dept. IT,PERM,100.0,60-40,0.0,265.57,410.0,144.43,140.0,0.0,1.0,46.0,6.0,9.0,5.763888888888889
ENS95,0.0,Dept. MTEL,PERM,100.0,80-20,23.0,285.0,382.25,97.25,97.25,0.0,0.0,166.0,4.0,32.0,36.66666666666667
ENS96,0.0,Dept. ISYS,CDI,100.0,60-40,2.0,290.0,373.0,83.0,83.0,0.0,0.0,69.4,11.0,13.0,8.261111111111113
ENS97,0.0,Dept. IT,PERM,100.0,60-40,35.0,125.0,274.5,149.5,149.5,1.0,1.0,75.46666666666667,6.333333333333333,16.333333333333332,14.6
ENS98,0.0,Dept. ISYS,PERM,100.0,60-40,4.0,280.0,397.25,117.25,117.25,0.0,0.0,105.33333333333334,6.5,18.5,19.880555555555556
ENS105,0.0,Dept. SEN,PERM,100.0,80-20,0.0,398.91,548.27,149.36,140.0,0.0,1.0,139.0,10.0,28.0,26.12361111111111
ENS106,0.0,Dept. SEN,PERM,100.0,60-40,15.0,225.0,398.0,173.0,142.0,1.0,1.0,58.6,10.0,10.0,6.454166666666666
ENS108,0.0,Dept. ISYS,PERM,100.0,60-40,35.0,125.0,277.0,152.0,140.0,0.0,1.0,57.833333333333336,10.5,12.5,8.0375
ENS113,6.0,Dept. IT,PERM,100.0,60-40,10.0,250.0,416.5,166.5,166.5,1.0,1.0,75.53333333333333,8.833333333333332,20.833333333333336,12.705555555555556
ENS114,52.0,Dept. IT,PERM,100.0,60-40,20.0,200.0,256.0,56.0,56.0,0.0,0.0,66.5,8.5,11.5,9.479166666666666
ENS116,0.0,Dept. SEN,PERM,100.0,60-40,35.0,125.0,226.0,101.0,100.0,0.0,0.0,67.6,14.5,16.5,8.644444444444446
ENS118,0.0,Dept. IT,CDI,100.0,60-40,5.0,275.0,284.5,9.5,9.5,0.0,0.0,42.0,7.0,7.0,4.166666666666667
ENS119,0.0,Dept. IT,PERM,100.0,80-20,10.0,228.58,388.66,160.08,148.0,1.0,1.0,175.7,12.5,36.5,35.769444444444446
ENS124,36.0,Dept. IT,PERM,100.0,60-40,12.0,240.0,390.0,150.0,104.0,0.0,1.0,47.599999999999994,8.5,8.5,5.711111111111111
ENS129,0.0,Dept. SEN,CDD,100.0,Autre,20.0,400.0,541.5,141.5,140.0,0.0,1.0,38.0,1.0,9.0,9.0
ENS130,52.5,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,528.13,128.13,128.13,1.0,1.0,59.13333333333333,8.0,12.0,8.8
ENS132,0.0,Dept. MTEL,PERM,100.0,80-20,17.0,316.0,413.4,97.4,97.4,0.0,0.0,123.19999999999997,11.0,33.0,25.094444444444438
ENS135,0.0,Dept. ISYS,PERM,100.0,60-40,5.0,275.0,417.0,142.0,140.0,0.0,1.0,72.66666666666666,4.5,11.0,12.458333333333332
ENS138,16.0,Dept. MTEL,PERM,100.0,80-20,30.0,243.17,355.5,112.33,112.33,0.0,0.0,120.6,29.5,29.0,18.88888888888889
ENS139,0.0,Dept. IT,PERM,100.0,60-40,20.0,200.0,338.0,138.0,138.0,0.0,0.0,228.0,27.0,45.5,35.62500000000001
ENS140,0.0,Dept. ISYS,PERM,100.0,60-40,20.0,200.0,419.63,219.63,210.0,1.0,1.0,108.33333333333334,11.0,22.0,18.083333333333332
ENS141,48.0,Dept. MTEL,PERM,100.0,60-40,15.0,225.0,302.0,77.0,77.0,0.0,0.0,37.0,3.5,7.5,7.5
ENS144,0.0,Dept. SEN,PERM,100.0,60-40,35.0,125.0,270.01,145.01,145.01,1.0,1.0,47.2,3.0,11.0,9.505555555555556
ENS145,22.3,Dept. ISYS,CDI,100.0,60-40,0.0,300.0,337.5,37.5,37.0,0.0,0.0,40.8,4.0,9.0,7.391666666666667
ENS146,0.0,Dept. IT,CDI,100.0,60-40,16.0,194.75,215.5,20.75,20.75,0.0,0.0,14.0,2.0,2.5,2.0625
ENS150,0.0,Dept. SEN,PERM,100.0,60-40,20.0,200.0,294.07,94.07,94.07,0.0,0.0,198.63333333333335,35.5,36.5,23.868055555555557
ENS151,0.0,Dept. ISYS,PERM,100.0,80-20,8.0,360.0,465.0,105.0,105.0,0.0,0.0,48.2,8.0,8.0,6.175
ENS152,0.0,Dept. ISYS,PERM,100.0,60-40,24.0,143.51,333.04,189.53,189.53,1.0,1.0,142.16666666666669,20.5,26.5,19.756944444444443
ENS155,0.0,Dept. IT,PERM,100.0,60-40,20.0,200.0,255.46,55.46,0.0,0.0,0.0,56.0,8.0,10.0,8.125
ENS160,0.0,Dept. MTEL,PERM,100.0,80-20,53.0,135.0,201.75,66.75,66.75,0.0,0.0,6.0,1.0,1.0,0.6666666666666666
ENS162,0.0,Dept. SEN,PERM,100.0,80-20,4.0,369.62,498.6,128.98,128.98,0.0,0.0,138.0,9.0,30.0,26.844444444444445
ENS163,0.0,Dept. IT,PERM,100.0,60-40,8.0,260.0,317.5,57.5,57.5,0.0,0.0,59.86666666666667,9.0,13.0,8.39166666666667
ENS165,14.0,Dept. IT,CDD,100.0,60-40,0.0,300.0,442.5,142.5,142.5,1.0,1.0,11.2,1.0,3.0,2.4000000000000004
ENS166,0.0,Dept. ISYS,PERM,100.0,60-40,10.0,250.0,362.5,112.5,112.5,0.0,0.0,31.6,4.0,6.0,5.058333333333334
ENS168,0.0,Dept. ISYS,PERM,100.0,60-40,2.0,290.0,380.14,90.14,90.14,0.0,0.0,59.6,4.0,13.0,12.558333333333334
ENS171,0.0,Dept. ISYS,PERM,80.0,80-20,25.0,192.0,217.0,25.0,0.0,0.0,0.0,29.6,5.0,5.0,3.683333333333333
ENS174,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,432.0,32.0,32.0,0.0,0.0,55.6,6.0,11.0,9.122222222222222
ENS175,0.0,Dept. IT,PERM,100.0,60-40,20.0,190.16,366.5,176.34,176.34,1.0,1.0,57.53333333333333,6.5,11.5,7.833333333333333
ENS176,0.0,Dept. SEN,CDD,100.0,Autre,39.0,274.87,348.0,73.13,73.13,0.0,0.0,9.0,0.5,2.0,2.0
ENS181,0.0,Dept. SEN,PERM,100.0,60-40,8.0,260.0,413.8,153.8,148.0,1.0,1.0,112.6,5.0,26.0,25.766666666666666
ENS182,0.0,Dept. MTEL,CDD,50.0,Autre,12.0,209.38,269.5,60.12,0.0,0.0,0.0,47.6,4.0,4.0,4.227777777777778
ENS183,0.0,Dept. SEN,CDD,100.0,Autre,40.0,300.0,380.0,80.0,79.0,0.0,0.0,33.0,6.0,7.0,4.3374999999999995
ENS185,12.0,Dept. ISYS,PERM,100.0,80-20,23.0,169.07,286.96,117.89,116.96,0.0,0.0,75.2,5.0,17.0,15.772222222222222
