,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. INFO,PERM,100.0,Autre,60.0,217.42,285.5,68.08,68.0,0.0,0.0,,,,
ENS5,0.0,Dept. SYLE,PERM,100.0,80-20,55.0,138.7,156.67,17.97,0.0,0.0,0.0,,,,
ENS6,0.0,Dept. SYLE,CDI,100.0,60-40,5.0,275.0,527.75,252.75,139.25,0.0,1.0,,,,
ENS7,0.0,Dept. SYLE,PERM,100.0,80-20,19.0,303.85,325.0,21.15,16.0,0.0,0.0,,,,
ENS10,0.0,Dept. SE,CDI,100.0,60-40,0.0,300.0,379.0,79.0,79.0,0.0,0.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,300.0,356.0,56.0,56.0,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,200.0,284.0,84.0,72.0,0.0,0.0,,,,
ENS16,48.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,346.0,46.0,44.0,0.0,0.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,10.0,347.8,381.5,33.7,33.69,0.0,0.0,,,,
ENS21,0.0,Dept. SYLE,PERM,100.0,80-20,10.0,310.0,439.5,129.5,78.94,0.0,0.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,241.76,349.0,107.24,99.0,0.0,0.0,,,,
ENS24,0.0,Dept. INFO,PERM,100.0,60-40,-24.0,32.98,104.0,71.02,0.0,0.0,0.0,,,,
ENS25,12.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,275.0,446.5,171.5,126.0,0.0,1.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,0.0,368.0,531.5,163.5,139.5,0.0,1.0,,,,
ENS28,0.0,Dept. SE,PERM,100.0,80-20,50.0,150.0,163.0,13.0,0.0,0.0,0.0,,,,
ENS29,0.0,Dept. SYLE,PERM,70.0,80-20,5.0,255.0,269.99,14.99,14.94,0.0,0.0,,,,
ENS33,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,346.0,46.0,46.0,0.0,0.0,,,,
ENS36,36.0,Dept. LAC,PERM,100.0,80-20,0.0,349.42,372.15,22.73,0.0,0.0,0.0,,,,
ENS40,0.0,Dept. LAC,CDD,50.0,80-20,0.0,167.59,176.74,9.15,0.0,0.0,0.0,,,,
ENS49,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,302.5,2.5,0.0,0.0,0.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,13.0,237.5,336.5,99.0,97.0,0.0,0.0,,,,
ENS57,0.0,Dept. INFO,CDD,100.0,60-40,0.0,300.0,329.9,29.9,0.0,0.0,0.0,,,,
ENS58,18.0,Dept. SYLE,PERM,80.0,60-40,40.0,56.7,348.0,291.3,0.0,0.0,1.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,5.0,230.0,420.5,190.5,135.0,0.0,1.0,,,,
ENS65,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,339.83,39.83,32.33,0.0,0.0,,,,
ENS67,0.0,Dept. INFO,PERM,100.0,60-40,20.0,200.0,223.0,23.0,21.0,0.0,0.0,,,,
ENS73,112.0,Dept. LAC,CDD,50.0,80-20,0.0,131.0,268.55,137.55,0.0,0.0,1.0,,,,
ENS74,21.5,Dept. LAC,PERM,100.0,80-20,10.0,341.21,524.35,183.14,118.0,0.0,1.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,80-20,40.0,200.0,245.0,45.0,45.0,0.0,0.0,,,,
ENS76,0.0,Dept. LAC,PERM,100.0,80-20,20.0,271.84,279.87,8.03,0.0,0.0,0.0,,,,
ENS77,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,377.0,77.0,76.0,0.0,0.0,,,,
ENS80,0.0,Dept. TELECOMS,PERM,100.0,80-20,10.0,341.21,499.17,157.96,132.67,0.0,1.0,,,,
ENS84,0.0,Dept. MOSIM,PERM,100.0,80-20,35.0,225.0,345.0,120.0,120.0,0.0,0.0,,,,
ENS87,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,295.05,397.5,102.45,86.5,0.0,0.0,,,,
ENS90,20.0,Dept. LAC,PERM,100.0,80-20,5.0,375.0,375.2,0.2,0.0,0.0,0.0,,,,
ENS91,0.0,Dept. TELECOMS,PERM,100.0,80-20,0.0,360.0,453.5,93.5,93.5,0.0,0.0,,,,
ENS92,0.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,250.0,268.5,18.5,17.0,0.0,0.0,,,,
ENS93,0.0,Dept. SE,PERM,100.0,60-40,20.0,200.0,342.0,142.0,140.0,0.0,1.0,,,,
ENS94,92.0,Dept. SYLE,PERM,100.0,60-40,0.0,293.41,436.0,142.59,48.0,0.0,1.0,,,,
ENS97,16.0,Dept. INFO,PERM,100.0,60-40,0.0,296.7,372.0,75.3,61.0,0.0,0.0,,,,
