,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,24.0,Dept. INFO,PERM,100.0,60-40,20.0,171.43,329.0,157.57,116.0,0.0,1.0,,,,
ENS7,30.0,Dept. SYLE,PERM,100.0,80-20,0.0,393.41,507.0,113.59,110.0,0.0,1.0,,,,
ENS10,0.0,Dept. SE,CDI,100.0,60-40,0.0,300.0,516.0,216.0,140.0,0.0,1.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,298.35,425.5,127.15,127.0,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,195.54,381.25,185.71,140.0,0.0,1.0,,,,
ENS15,0.0,Dept. INFO,PERM,100.0,60-40,-9.0,228.23,278.0,49.77,49.0,0.0,0.0,,,,
ENS16,56.0,Dept. INFO,PERM,100.0,60-40,0.0,299.18,396.0,96.82,40.0,0.0,1.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,10.0,337.91,446.55,108.64,108.55,0.0,0.0,,,,
ENS21,0.0,Dept. SYLE,PERM,100.0,80-20,10.0,302.09,392.55,90.46,36.0,0.0,0.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,4.0,281.59,371.0,89.41,89.0,0.0,0.0,,,,
ENS25,12.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,269.23,463.0,193.77,128.0,0.0,1.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,0.0,393.41,548.0,154.59,140.0,0.0,1.0,,,,
ENS29,0.0,Dept. SYLE,PERM,80.0,80-20,70.0,155.05,195.58,40.53,40.5,0.0,0.0,,,,
ENS36,0.0,Dept. LAC,PERM,100.0,80-20,5.0,153.0,228.0,75.0,72.0,0.0,0.0,,,,
ENS49,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,290.11,424.75,134.64,133.75,0.0,0.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,246.7,397.25,150.55,139.75,0.0,1.0,,,,
ENS58,0.0,Dept. SYLE,PERM,80.0,60-40,0.0,233.41,395.5,162.09,139.0,0.0,1.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,5.0,263.46,416.0,152.54,140.0,0.0,1.0,,,,
ENS65,0.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,270.05,426.17,156.12,140.0,0.0,1.0,,,,
ENS67,0.0,Dept. INFO,PERM,100.0,60-40,20.0,192.58,193.5,0.92,0.0,0.0,0.0,,,,
ENS73,0.0,Dept. LAC,CDD,50.0,80-20,0.0,22.04,162.0,139.96,84.0,0.0,0.0,,,,
ENS74,8.0,Dept. LAC,PERM,100.0,80-20,0.0,395.6,467.81,72.21,0.0,0.0,0.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,80-20,40.0,196.29,275.5,79.21,75.0,0.0,0.0,,,,
ENS76,0.0,Dept. LAC,PERM,100.0,80-20,10.0,334.32,355.16,20.84,0.0,0.0,0.0,,,,
ENS77,49.0,Dept. INFO,PERM,100.0,60-40,0.0,292.58,379.0,86.42,86.0,0.0,0.0,,,,
ENS80,0.0,Dept. TELECOMS,PERM,100.0,80-20,10.0,325.82,526.75,200.93,140.0,0.0,1.0,,,,
ENS84,0.0,Dept. MOSIM,PERM,100.0,80-20,20.0,295.6,385.0,89.4,89.0,0.0,0.0,,,,
ENS87,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,295.88,429.5,133.62,133.5,0.0,0.0,,,,
ENS88,0.0,Dept. SYLE,PERM,100.0,60-40,-15.0,189.56,203.0,13.44,13.0,0.0,0.0,,,,
