,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,416.0,116.0,116.0,0.0,0.0,,,,
ENS7,63.0,Dept. SYLE,PERM,100.0,80-20,10.0,348.9,437.25,88.35,77.0,0.0,1.0,,,,
ENS10,0.0,Dept. SE,CDI,100.0,60-40,0.0,247.16,387.83,140.67,140.0,0.0,1.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,250.0,334.5,84.5,84.5,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,7.0,262.64,327.0,64.36,63.5,0.0,0.0,,,,
ENS15,0.0,Dept. INFO,PERM,100.0,60-40,8.0,245.16,343.5,98.34,97.0,0.0,0.0,,,,
ENS16,58.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,349.0,49.0,49.0,0.0,0.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,10.0,339.01,379.18,40.17,23.66,0.0,0.0,,,,
ENS21,0.0,Dept. SYLE,PERM,100.0,80-20,10.0,308.02,458.05,150.03,88.0,0.0,1.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,420.0,120.0,120.0,0.0,0.0,,,,
ENS25,0.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,273.35,426.0,152.65,140.0,0.0,1.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,0.0,383.8,574.5,190.7,138.0,0.0,1.0,,,,
ENS32,46.0,Dept. LAC,PERM,100.0,80-20,0.0,385.71,402.35,16.64,16.6,0.0,0.0,,,,
ENS33,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,324.5,24.5,20.5,0.0,0.0,,,,
ENS36,0.0,Dept. LAC,PERM,50.0,80-20,-14.0,40.8,96.0,55.2,0.0,0.0,0.0,,,,
ENS37,36.0,Dept. SE,CDI,100.0,60-40,0.0,300.0,342.5,42.5,0.0,0.0,0.0,,,,
ENS50,16.0,Dept. SYLE,PERM,100.0,60-40,0.0,299.18,379.5,80.32,74.0,0.0,0.0,,,,
ENS58,0.0,Dept. SYLE,PERM,80.0,60-40,0.0,240.0,445.5,205.5,140.0,0.0,1.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,5.0,261.81,400.5,138.69,138.0,0.0,0.0,,,,
ENS65,0.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,248.35,375.5,127.15,127.0,0.0,0.0,,,,
ENS67,0.0,Dept. INFO,PERM,100.0,60-40,30.0,150.0,152.0,2.0,0.0,0.0,0.0,,,,
ENS72,0.0,Dept. TELECOMS,CDD,100.0,60-40,-9.0,229.12,245.0,15.88,15.0,0.0,0.0,,,,
ENS73,0.0,Dept. LAC,CDD,50.0,80-20,0.0,146.0,196.5,50.5,39.0,0.0,0.0,,,,
ENS74,0.0,Dept. LAC,PERM,100.0,80-20,0.0,359.15,473.69,114.54,114.5,0.0,0.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,80-20,40.0,200.0,254.0,54.0,54.0,0.0,0.0,,,,
ENS76,0.0,Dept. LAC,PERM,100.0,80-20,10.0,318.35,358.16,39.81,0.0,0.0,0.0,,,,
ENS77,112.0,Dept. INFO,PERM,100.0,60-40,8.0,260.0,285.5,25.5,11.0,0.0,0.0,,,,
ENS80,0.0,Dept. TELECOMS,PERM,100.0,80-20,23.0,261.4,403.5,142.1,140.0,0.0,1.0,,,,
ENS84,0.0,Dept. MOSIM,PERM,100.0,80-20,20.0,300.0,440.15,140.15,140.0,0.0,1.0,,,,
ENS87,10.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,393.25,93.25,93.25,0.0,0.0,,,,
ENS88,34.0,Dept. SYLE,PERM,100.0,60-40,10.0,250.0,285.0,35.0,35.0,0.0,0.0,,,,
ENS90,0.0,Dept. LAC,PERM,100.0,80-20,5.0,372.8,378.23,5.43,5.32,0.0,0.0,,,,
ENS91,0.0,Dept. TELECOMS,PERM,100.0,80-20,0.0,358.02,382.0,23.98,23.0,0.0,0.0,,,,
ENS92,0.0,Dept. TELECOMS,PERM,100.0,60-40,3.0,284.18,425.5,141.32,140.0,0.0,1.0,,,,
ENS93,0.0,Dept. SE,PERM,100.0,60-40,20.0,200.0,347.83,147.83,140.0,0.0,1.0,,,,
ENS94,76.0,Dept. SYLE,PERM,100.0,60-40,0.0,294.23,330.0,35.77,35.0,0.0,0.0,,,,
ENS97,0.0,Dept. INFO,PERM,100.0,60-40,0.0,299.18,504.5,205.32,139.5,0.0,1.0,,,,
ENS98,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,235.5,498.5,263.0,135.0,0.0,1.0,,,,
ENS105,0.0,Dept. MOSIM,PERM,100.0,60-40,-10.0,349.04,508.6,159.56,138.0,0.0,1.0,,,,
ENS108,0.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,200.0,281.0,81.0,76.5,0.0,0.0,,,,
ENS109,0.0,Dept. TELECOMS,CDD,100.0,80-20,-15.0,107.69,117.0,9.31,0.0,0.0,0.0,,,,
ENS111,0.0,Dept. SYLE,PERM,100.0,80-20,-14.0,93.08,252.9,159.82,0.0,0.0,1.0,,,,
ENS113,0.0,Dept. INFO,PERM,100.0,60-40,10.0,250.0,409.0,159.0,140.0,0.0,1.0,,,,
ENS114,0.0,Dept. INFO,PERM,100.0,60-40,8.0,258.35,266.5,8.15,8.0,0.0,0.0,,,,
ENS115,0.0,Dept. SYLE,PERM,100.0,80-20,30.0,214.0,231.25,17.25,0.0,0.0,0.0,,,,
ENS116,0.0,Dept. TELECOMS,PERM,80.0,60-40,7.0,205.0,277.0,72.0,72.0,0.0,0.0,,,,
ENS119,0.0,Dept. INFO,PERM,100.0,80-20,10.0,307.5,452.5,145.0,140.0,0.0,1.0,,,,
ENS124,0.0,Dept. MOSIM,PERM,100.0,60-40,8.0,260.0,367.0,107.0,106.0,0.0,0.0,,,,
ENS126,0.0,Dept. LAC,PERM,100.0,80-20,26.0,271.15,306.5,35.35,35.0,0.0,0.0,,,,
ENS130,68.0,Dept. SE,PERM,100.0,80-20,0.0,400.0,402.0,2.0,0.0,0.0,0.0,,,,
ENS134,0.0,Dept. SYLE,PERM,100.0,60-40,20.0,198.9,305.0,106.1,106.0,0.0,0.0,,,,
ENS135,0.0,Dept. SE,PERM,100.0,60-40,5.0,275.0,493.75,218.75,140.0,0.0,1.0,,,,
ENS139,28.0,Dept. INFO,PERM,100.0,60-40,10.0,250.0,332.0,82.0,82.0,0.0,0.0,,,,
ENS140,0.0,Dept. SE,PERM,100.0,60-40,10.0,223.0,369.0,146.0,137.0,0.0,1.0,,,,
ENS142,66.0,Dept. SE,PERM,100.0,80-20,40.0,200.0,245.5,45.5,45.5,0.0,0.0,,,,
ENS144,56.0,Dept. SYLE,CDI,100.0,60-40,20.0,200.0,242.0,42.0,42.0,0.0,0.0,,,,
ENS149,0.0,Dept. INFO,PERM,100.0,80-20,50.0,150.0,183.0,33.0,0.0,0.0,0.0,,,,
ENS151,0.0,Dept. SYLE,PERM,100.0,60-40,5.0,255.8,361.35,105.55,104.75,0.0,0.0,,,,
ENS154,6.0,Dept. LAC,PERM,100.0,80-20,10.0,328.69,353.5,24.81,0.0,0.0,0.0,,,,
ENS155,0.0,Dept. INFO,PERM,100.0,60-40,20.0,200.0,236.5,36.5,36.5,0.0,0.0,,,,
ENS156,0.0,Dept. SE,PERM,100.0,80-20,3.0,337.09,495.33,158.24,120.0,0.0,1.0,,,,
ENS157,0.0,Dept. MOSIM,PERM,100.0,80-20,0.0,354.07,413.94,59.87,59.87,0.0,0.0,,,,
ENS162,52.0,Dept. MOSIM,PERM,100.0,60-40,-10.0,328.96,422.82,93.86,83.82,0.0,1.0,,,,
ENS170,0.0,Dept. LAC,CDD,80.0,80-20,0.0,320.0,345.56,25.56,0.0,0.0,0.0,,,,
ENS171,0.0,Dept. SYLE,PERM,100.0,60-40,12.0,238.35,311.0,72.65,36.5,0.0,0.0,,,,
ENS172,42.0,Dept. LAC,PERM,100.0,80-20,5.0,375.0,375.79,0.79,0.0,0.0,0.0,,,,
ENS174,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,299.18,445.92,146.74,140.0,0.0,1.0,,,,
ENS180,0.0,Dept. TELECOMS,PERM,100.0,80-20,10.0,350.0,542.28,192.28,139.28,0.0,1.0,,,,
ENS185,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,248.35,367.5,119.15,94.0,0.0,0.0,,,,
ENS186,42.0,Dept. MOSIM,PERM,100.0,60-40,20.0,182.35,219.0,36.65,0.0,0.0,0.0,,,,
ENS187,0.0,Dept. LAC,PERM,50.0,80-20,-9.0,37.36,100.0,62.64,62.0,0.0,0.0,,,,
ENS188,0.0,Dept. SYLE,CDD,100.0,60-40,0.0,300.0,389.5,89.5,89.5,0.0,0.0,,,,
