,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. IT,PERM,100.0,60-40,0.0,157.38,366.55,209.17,209.15,1.0,1.0,73.66666666666667,3.0,11.0,13.458333333333334
ENS4,0.0,Dept. ISYS,CDI,100.0,60-40,10.0,245.9,276.75,30.85,30.85,0.0,0.0,11.0,2.0,2.0,1.6041666666666667
ENS7,42.0,Dept. ISYS,PERM,100.0,80-20,13.0,291.0,404.5,113.5,113.5,1.0,1.0,156.60000000000002,22.0,36.0,26.919444444444444
ENS10,24.0,Dept. ISYS,PERM,100.0,60-40,2.0,245.0,485.25,240.25,240.25,1.0,1.0,63.333333333333336,6.0,11.0,9.33611111111111
ENS12,0.0,Dept. ISYS,PERM,100.0,80-20,12.0,342.0,511.92,169.92,169.92,1.0,1.0,48.8,2.5,10.5,10.0625
ENS13,0.0,Dept. ISYS,PERM,100.0,60-40,20.0,193.44,358.5,165.06,165.0,1.0,1.0,79.13333333333334,10.0,14.0,11.102777777777778
ENS15,0.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,363.0,138.0,138.0,0.0,0.0,58.4,8.0,9.0,6.605555555555556
ENS23,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,109.59,111.0,1.41,0.0,0.0,0.0,23.333333333333336,2.0,5.0,4.45
ENS25,0.0,Dept. ISYS,PERM,100.0,60-40,0.0,250.0,511.5,261.5,261.0,1.0,1.0,126.0,7.5,25.0,24.025
ENS26,0.0,Dept. MTEL,PERM,100.0,60-40,13.0,236.61,427.75,191.14,0.0,0.0,1.0,75.2,3.0,19.5,17.25
ENS27,0.0,Dept. ISYS,PERM,100.0,80-20,12.0,340.0,665.47,325.47,325.47,1.0,1.0,157.89999999999998,20.0,27.0,25.87777777777778
ENS30,0.0,Dept. SEN,CDI,100.0,60-40,5.0,275.0,491.5,216.5,216.5,1.0,1.0,63.0,4.5,13.5,10.583333333333334
ENS33,0.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,461.0,236.0,236.0,1.0,1.0,94.4,16.5,16.5,11.266666666666666
ENS34,0.0,Dept. IT,PERM,100.0,60-40,10.0,250.0,449.0,199.0,199.0,1.0,1.0,72.4,13.5,13.5,7.694444444444445
ENS38,0.0,Dept. MTEL,PERM,100.0,60-40,20.0,194.54,428.5,233.96,233.96,1.0,1.0,8.4,2.0,2.0,0.9333333333333332
ENS43,76.0,Dept. MTEL,PERM,100.0,60-40,26.0,170.77,322.75,151.98,151.98,1.0,1.0,,,,
ENS49,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,634.67,234.67,234.67,1.0,1.0,191.7,9.0,29.5,37.53611111111111
