,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,383.5,83.5,83.5,0.0,0.0,,,,
ENS7,63.0,Dept. SYLE,PERM,100.0,80-20,5.0,375.0,482.42,107.42,77.0,0.0,1.0,,,,
ENS10,0.0,Dept. SE,CDI,100.0,60-40,5.0,237.0,381.0,144.0,140.0,0.0,1.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,250.0,364.5,114.5,114.5,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,267.03,402.5,135.47,135.0,0.0,0.0,,,,
ENS15,0.0,Dept. INFO,PERM,100.0,60-40,11.0,245.0,460.5,215.5,140.0,0.0,1.0,,,,
ENS16,58.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,336.5,36.5,36.5,0.0,0.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,10.0,331.3,341.5,10.2,0.0,0.0,0.0,,,,
ENS21,0.0,Dept. SYLE,PERM,100.0,80-20,0.0,360.0,432.58,72.58,72.08,0.0,0.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,440.0,140.0,140.0,0.0,0.0,,,,
ENS25,0.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,275.0,437.5,162.5,139.0,0.0,1.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,0.0,348.0,413.5,65.5,65.5,0.0,0.0,,,,
ENS29,0.0,Dept. SYLE,PERM,90.0,80-20,40.0,155.0,207.5,52.5,52.5,0.0,0.0,,,,
ENS31,0.0,Dept. INFO,CDI,100.0,60-40,-13.0,202.75,206.0,3.25,3.0,0.0,0.0,,,,
ENS37,0.0,Dept. SE,CDI,100.0,60-40,-36.0,-2.03,0.0,2.03,0.0,0.0,0.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,300.0,345.5,45.5,45.0,0.0,0.0,,,,
ENS58,0.0,Dept. SYLE,PERM,90.0,60-40,10.0,220.0,381.5,161.5,140.0,0.0,1.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,5.0,275.0,417.0,142.0,140.0,0.0,1.0,,,,
ENS65,0.0,Dept. TELECOMS,PERM,100.0,80-20,30.0,250.0,377.5,127.5,127.0,0.0,0.0,,,,
ENS67,0.0,Dept. INFO,PERM,100.0,60-40,30.0,150.0,160.0,10.0,9.0,0.0,0.0,,,,
ENS73,0.0,Dept. LAC,CDD,50.0,80-20,10.0,150.0,234.0,84.0,36.0,0.0,0.0,,,,
ENS74,0.0,Dept. LAC,PERM,100.0,80-20,0.0,400.0,455.03,55.03,0.0,0.0,0.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,60-40,20.0,200.0,261.08,61.08,61.0,0.0,0.0,,,,
ENS76,0.0,Dept. LAC,PERM,100.0,80-20,10.0,310.2,321.91,11.71,0.0,0.0,0.0,,,,
ENS77,49.0,Dept. INFO,PERM,100.0,60-40,20.0,186.81,242.5,55.69,55.0,0.0,0.0,,,,
ENS80,0.0,Dept. TELECOMS,PERM,100.0,80-20,20.0,300.0,427.0,127.0,127.0,0.0,0.0,,,,
ENS84,0.0,Dept. MOSIM,PERM,100.0,80-20,20.0,300.0,484.12,184.12,140.0,0.0,1.0,,,,
ENS87,36.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,335.39,35.39,35.39,0.0,0.0,,,,
ENS88,82.0,Dept. SYLE,PERM,100.0,60-40,20.0,185.16,201.0,15.84,15.0,0.0,0.0,,,,
ENS90,0.0,Dept. LAC,PERM,100.0,80-20,5.0,375.0,391.81,16.81,16.81,0.0,0.0,,,,
ENS92,0.0,Dept. TELECOMS,PERM,80.0,60-40,0.0,240.0,300.0,60.0,60.0,0.0,0.0,,,,
ENS93,0.0,Dept. SE,PERM,100.0,60-40,20.0,200.0,318.0,118.0,118.0,0.0,0.0,,,,
ENS94,78.0,Dept. SYLE,PERM,100.0,60-40,20.0,196.7,246.64,49.94,47.0,0.0,0.0,,,,
ENS96,0.0,Dept. SE,CDI,100.0,60-40,0.0,300.0,345.0,45.0,45.0,0.0,0.0,,,,
ENS97,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,474.25,174.25,140.0,0.0,1.0,,,,
ENS98,0.0,Dept. SYLE,PERM,100.0,60-40,5.0,225.0,389.25,164.25,137.5,0.0,1.0,,,,
ENS105,0.0,Dept. MOSIM,PERM,100.0,60-40,4.0,259.0,378.05,119.05,119.0,0.0,0.0,,,,
ENS108,36.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,200.0,324.5,124.5,101.5,0.0,1.0,,,,
ENS113,0.0,Dept. INFO,PERM,100.0,60-40,10.0,250.0,411.5,161.5,140.0,0.0,1.0,,,,
ENS114,0.0,Dept. INFO,PERM,100.0,60-40,10.0,250.0,274.5,24.5,24.5,0.0,0.0,,,,
ENS116,6.6,Dept. TELECOMS,PERM,80.0,60-40,10.0,186.04,221.5,35.46,25.0,0.0,0.0,,,,
ENS119,0.0,Dept. INFO,PERM,100.0,80-20,10.0,305.0,436.01,131.01,131.0,0.0,0.0,,,,
ENS124,0.0,Dept. MOSIM,PERM,100.0,60-40,12.0,240.0,334.75,94.75,55.0,0.0,0.0,,,,
ENS126,0.0,Dept. LAC,PERM,100.0,80-20,35.0,225.0,351.5,126.5,126.25,0.0,0.0,,,,
ENS134,12.0,Dept. SYLE,PERM,100.0,60-40,20.0,194.23,303.0,108.77,100.5,0.0,0.0,,,,
ENS135,0.0,Dept. SE,PERM,100.0,60-40,0.0,300.0,493.0,193.0,140.0,0.0,1.0,,,,
ENS136,0.0,Dept. SYLE,PERM,100.0,80-20,30.0,140.11,187.0,46.89,0.0,0.0,0.0,,,,
ENS137,0.0,Dept. SYLE,CDD,100.0,80-20,-6.0,270.33,281.0,10.67,10.0,0.0,0.0,,,,
ENS139,28.0,Dept. INFO,PERM,100.0,60-40,15.0,223.35,338.5,115.15,112.0,0.0,1.0,,,,
ENS140,0.0,Dept. SE,PERM,100.0,60-40,10.0,250.0,381.0,131.0,131.0,0.0,0.0,,,,
ENS142,42.5,Dept. SE,PERM,100.0,60-40,30.0,150.0,245.0,95.0,95.0,0.0,0.0,,,,
ENS144,32.0,Dept. SYLE,CDI,100.0,60-40,20.0,200.0,276.89,76.89,76.0,0.0,0.0,,,,
ENS149,0.0,Dept. INFO,PERM,100.0,80-20,50.0,150.0,195.5,45.5,0.0,0.0,0.0,,,,
ENS151,0.0,Dept. SYLE,PERM,100.0,80-20,35.0,225.0,327.16,102.16,100.0,0.0,0.0,,,,
ENS154,2.15,Dept. LAC,PERM,100.0,80-20,10.0,239.49,320.22,80.73,0.0,0.0,0.0,,,,
ENS155,0.0,Dept. INFO,PERM,100.0,60-40,20.0,200.0,307.5,107.5,102.5,0.0,0.0,,,,
ENS156,0.0,Dept. SE,PERM,100.0,80-20,5.0,315.0,408.83,93.83,92.0,0.0,0.0,,,,
ENS157,0.0,Dept. MOSIM,PERM,100.0,80-20,0.0,334.29,416.68,82.39,81.68,0.0,0.0,,,,
ENS162,52.0,Dept. MOSIM,PERM,100.0,80-20,10.0,330.0,407.98,77.98,77.98,0.0,0.0,,,,
ENS163,0.0,Dept. INFO,PERM,100.0,60-40,-13.0,202.75,208.5,5.75,25.5,1.0,0.0,,,,
ENS171,0.0,Dept. SYLE,PERM,80.0,60-40,5.0,179.0,284.5,105.5,25.5,0.0,0.0,,,,
ENS172,27.0,Dept. LAC,PERM,100.0,60-40,20.0,200.0,474.5,274.5,112.5,0.0,1.0,,,,
ENS174,28.0,Dept. SYLE,PERM,100.0,60-40,0.0,300.0,402.92,102.92,102.67,0.0,0.0,,,,
ENS180,0.0,Dept. TELECOMS,PERM,100.0,80-20,6.0,319.45,450.6,131.15,130.6,0.0,0.0,,,,
ENS185,12.0,Dept. SYLE,PERM,100.0,60-40,10.0,225.0,339.5,114.5,89.5,0.0,0.0,,,,
ENS186,42.0,Dept. MOSIM,PERM,100.0,60-40,20.0,164.0,170.0,6.0,0.0,0.0,0.0,,,,
