,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS6,38.0,Dept. SYLE,CDI,100.0,60-40,0.0,300.0,458.5,158.5,101.0,0.0,1.0,,,,
ENS7,0.0,Dept. SYLE,PERM,100.0,80-20,40.0,196.7,321.5,124.8,120.0,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,200.0,273.5,73.5,73.0,0.0,0.0,,,,
ENS16,50.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,342.0,42.0,42.0,0.0,0.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,0.0,400.0,403.0,3.0,3.0,0.0,0.0,,,,
ENS21,0.0,Dept. SYLE,PERM,100.0,80-20,10.0,308.02,449.35,141.33,67.5,0.0,1.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,13.0,235.0,377.0,142.0,140.0,0.0,1.0,,,,
ENS24,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,347.0,47.0,0.0,0.0,0.0,,,,
ENS25,24.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,250.0,367.08,117.08,116.0,0.0,1.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,0.0,367.97,542.5,174.53,140.0,0.0,1.0,,,,
ENS28,0.0,Dept. SE,PERM,100.0,80-20,50.0,149.18,240.0,90.82,76.5,0.0,0.0,,,,
ENS29,0.0,Dept. SYLE,PERM,68.0,80-20,5.0,247.0,268.97,21.97,21.97,0.0,0.0,,,,
ENS36,52.5,Dept. LAC,PERM,100.0,80-20,0.0,340.0,407.2,67.2,33.0,0.0,0.0,,,,
ENS40,0.0,Dept. LAC,CDD,50.0,80-20,0.0,200.0,236.36,36.36,0.0,0.0,0.0,,,,
ENS49,0.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,275.0,333.0,58.0,56.0,0.0,0.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,13.0,236.2,341.0,104.8,85.0,0.0,0.0,,,,
ENS57,0.0,Dept. INFO,CDD,100.0,80-20,-3.0,128.57,175.0,46.43,20.0,0.0,0.0,,,,
ENS58,16.0,Dept. TELECOMS,PERM,80.0,60-40,3.0,225.0,344.0,119.0,105.0,0.0,0.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,0.0,270.0,423.5,153.5,138.0,0.0,1.0,,,,
ENS65,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,296.0,425.5,129.5,129.5,0.0,0.0,,,,
ENS67,0.0,Dept. INFO,PERM,50.0,60-40,0.0,150.0,179.0,29.0,28.5,0.0,0.0,,,,
ENS73,56.0,Dept. LAC,CDD,50.0,80-20,0.0,152.0,222.06,70.06,0.0,0.0,0.0,,,,
ENS74,0.0,Dept. LAC,PERM,80.0,80-20,5.0,281.87,429.75,147.88,125.0,0.0,1.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,80-20,40.0,200.0,375.0,175.0,140.0,0.0,1.0,,,,
ENS76,0.0,Dept. LAC,PERM,100.0,80-20,20.0,278.02,308.26,30.24,0.0,0.0,0.0,,,,
ENS77,6.0,Dept. INFO,PERM,100.0,60-40,-8.0,239.0,343.0,104.0,104.0,0.0,0.0,,,,
ENS80,0.0,Dept. TELECOMS,PERM,100.0,80-20,12.0,340.0,494.0,154.0,140.0,0.0,1.0,,,,
ENS84,81.0,Dept. MOSIM,PERM,100.0,80-20,20.0,300.0,338.14,38.14,37.5,0.0,0.0,,,,
ENS87,0.0,Dept. TELECOMS,PERM,100.0,60-40,5.0,275.0,319.5,44.5,44.5,0.0,0.0,,,,
ENS90,0.0,Dept. LAC,PERM,100.0,80-20,10.0,377.0,383.13,6.13,6.0,0.0,0.0,,,,
ENS91,0.0,Dept. TELECOMS,PERM,100.0,80-20,0.0,360.0,436.0,76.0,76.0,0.0,0.0,,,,
ENS92,0.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,250.0,310.0,60.0,59.0,0.0,0.0,,,,
ENS93,0.0,Dept. SE,PERM,100.0,60-40,20.0,200.0,356.0,156.0,140.0,0.0,1.0,,,,
ENS94,62.0,Dept. SYLE,PERM,100.0,60-40,0.0,298.35,389.0,90.65,77.0,0.0,1.0,,,,
ENS97,16.0,Dept. INFO,PERM,100.0,60-40,0.0,272.0,452.0,180.0,122.0,0.0,1.0,,,,
ENS98,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,300.0,447.0,147.0,134.0,0.0,1.0,,,,
ENS101,0.0,Dept. SYLE,PERM,100.0,80-20,20.0,300.0,405.0,105.0,105.0,0.0,0.0,,,,
ENS102,0.0,Dept. MOSIM,PERM,100.0,80-20,24.0,280.0,348.2,68.2,58.0,0.0,0.0,,,,
ENS104,0.0,Dept. TELECOMS,CDI,40.0,Autre,40.0,81.32,423.5,123.5,123.5,0.0,0.0,,,,
ENS105,0.0,Dept. TELECOMS,PERM,100.0,80-20,5.0,375.0,522.7,147.7,139.7,0.0,1.0,,,,
ENS107,12.0,Dept. SE,PERM,100.0,80-20,-7.0,125.11,200.0,74.89,85.0,1.0,0.0,,,,
ENS108,0.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,200.0,341.0,141.0,139.0,0.0,1.0,,,,
ENS111,0.0,Dept. SYLE,PERM,100.0,80-20,5.0,343.0,504.55,161.55,140.0,0.0,1.0,,,,
ENS113,0.0,Dept. INFO,PERM,100.0,60-40,0.0,285.16,393.5,108.34,106.5,0.0,0.0,,,,
ENS114,48.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,415.0,115.0,91.0,0.0,1.0,,,,
ENS115,0.0,Dept. SYLE,PERM,100.0,80-20,25.0,275.0,410.0,135.0,135.0,0.0,0.0,,,,
ENS116,18.0,Dept. TELECOMS,PERM,100.0,60-40,10.0,250.0,281.75,31.75,31.5,0.0,0.0,,,,
ENS119,0.0,Dept. INFO,PERM,100.0,80-20,10.0,328.85,452.77,123.92,123.77,0.0,0.0,,,,
ENS124,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,423.5,123.5,123.5,0.0,0.0,,,,
ENS126,0.0,Dept. LAC,PERM,100.0,80-20,5.0,375.0,538.74,163.74,122.5,0.0,1.0,,,,
ENS130,44.0,Dept. SE,PERM,100.0,80-20,13.0,334.5,482.0,147.5,96.0,0.0,1.0,,,,
ENS134,0.0,Dept. SYLE,PERM,100.0,60-40,20.0,196.7,317.5,120.8,119.0,0.0,0.0,,,,
ENS135,0.0,Dept. SE,PERM,100.0,60-40,0.0,300.0,495.5,195.5,140.0,0.0,1.0,,,,
ENS136,0.0,Dept. SE,PERM,100.0,80-20,15.0,325.0,415.23,90.23,80.0,0.0,0.0,,,,
ENS139,28.0,Dept. INFO,PERM,100.0,60-40,10.0,250.0,302.5,52.5,44.5,0.0,0.0,,,,
