,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. IT,PERM,100.0,60-40,0.0,300.0,442.01,142.01,142.01,1.0,1.0,90.4,4.0,12.0,18.691666666666666
ENS4,0.0,Dept. ISYS,CDI,100.0,60-40,10.0,250.0,441.17,191.17,140.0,0.0,1.0,64.33333333333334,10.5,13.5,9.602777777777778
ENS7,42.0,Dept. ISYS,PERM,100.0,80-20,16.0,204.44,340.5,136.06,136.06,1.0,1.0,188.36666666666667,20.833333333333336,40.33333333333333,35.68287037037037
ENS10,0.0,Dept. ISYS,PERM,100.0,60-40,13.0,235.0,430.5,195.5,140.0,0.0,1.0,58.666666666666664,8.0,11.5,9.777777777777777
ENS12,0.0,Dept. ISYS,PERM,100.0,80-20,15.0,299.0,322.06,23.06,0.0,0.0,0.0,64.0,6.0,13.0,11.041666666666666
ENS13,0.0,Dept. ISYS,PERM,100.0,60-40,15.0,218.85,341.5,122.65,122.0,0.0,0.0,71.39999999999999,11.0,12.5,10.450000000000001
ENS15,0.0,Dept. IT,PERM,100.0,60-40,35.0,125.0,296.0,171.0,140.0,0.0,1.0,90.5,13.0,15.0,9.82152777777778
ENS22,0.0,Dept. ISYS,CDI,100.0,60-40,0.0,300.0,428.5,128.5,128.5,0.0,0.0,43.0,6.0,8.0,6.0
ENS26,0.0,Dept. MTEL,PERM,100.0,60-40,27.0,165.0,329.5,164.5,140.0,0.0,1.0,93.46666666666667,5.5,25.0,20.195833333333333
ENS27,0.0,Dept. ISYS,PERM,100.0,80-20,0.0,400.0,523.0,123.0,123.0,0.0,0.0,65.30000000000001,10.0,13.0,10.080555555555557
ENS31,0.0,Dept. IT,PERM,100.0,60-40,10.0,250.0,280.5,30.5,30.5,0.0,0.0,41.0,4.833333333333333,8.333333333333334,6.4125
ENS33,0.0,Dept. IT,PERM,100.0,60-40,0.0,291.8,466.5,174.7,140.0,0.0,1.0,70.53333333333333,9.0,14.0,10.111111111111112
ENS34,18.0,Dept. IT,PERM,100.0,60-40,15.0,225.0,342.5,117.5,117.5,0.0,0.0,127.2,15.5,24.0,19.604166666666668
ENS38,0.0,Dept. IT,PERM,100.0,80-20,20.0,300.0,500.0,200.0,140.0,0.0,1.0,108.39999999999999,18.0,19.0,16.25416666666667
ENS43,118.0,Dept. MTEL,PERM,100.0,60-40,30.0,150.0,171.0,21.0,21.0,0.0,0.0,42.0,3.5,9.0,8.125
ENS45,0.0,Dept. MTEL,CDD,100.0,Autre,29.0,339.7,456.5,116.8,116.8,0.0,0.0,169.6,5.0,30.0,37.93333333333334
ENS48,0.0,Dept. SEN,CDD,100.0,80-20,0.0,345.35,366.5,21.15,21.15,0.0,0.0,,,,
ENS49,0.0,Dept. ISYS,PERM,100.0,80-20,10.0,350.0,402.5,52.5,52.5,0.0,0.0,94.60000000000001,9.0,22.5,18.33611111111111
ENS52,0.0,Dept. MTEL,PERM,100.0,60-40,20.0,200.0,363.0,163.0,140.0,0.0,1.0,18.0,3.0,3.0,2.416666666666667
